keyword,url,title,content,author,publisher,description,publish_date
Gibran Rakabuming,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LmRldGlrLmNvbS9qYXRlbmcvYmVyaXRhL2QtNjUwNDMxNS9naWJyYW4tcmFrYWJ1bWluZy1zb2FsLWdvcm9uZy1nb3JvbmctZGFuLWZvdG8tYW5pZXMtYmFzd2VkYW7SAW5odHRwczovL3d3dy5kZXRpay5jb20vamF0ZW5nL2Jlcml0YS9kLTY1MDQzMTUvZ2licmFuLXJha2FidW1pbmctc29hbC1nb3JvbmctZ29yb25nLWRhbi1mb3RvLWFuaWVzLWJhc3dlZGFuL2FtcA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Gibran Rakabuming soal Gorong-gorong dan Foto Anies Baswedan - detikJateng,"- Wali Kota Solo Gibran Rakabuming Raka merespons netizen yang menyebut soal pencitraan 'masuk gorong-gorong' dan berlanjut dengan postingan foto Anies Baswedan. Berita terkait 'gorong-gorong' ini menjadi salah satu terpopuler di detikJateng.

Berikut ini awal mula pembahasan soal 'pencitraan masuk gorong-gorong':

Gibran Respons Netizen soal Pencitraan

Gibran merespons cuitan netizen yang menyinggung soal 'pencitraan masuk gorong-gorong' Gibran Rakabuming Raka. Komentar netizen itu sebelumnya merespons salah satu unggahan video Gibran di akun @gibran_tweet.

Video tersebut memperlihatkan momen saat Gibran meminta anak-anak peserta upacara yang kehujanan untuk masuk ke tribun. Dalam momen selanjutnya, Gibran tampak naik ke mimbar pidato dan memberikan sambutannya di bawah guyuran hujan.

""Terlepas dari ini pencitraan atau gak, tapi 1 hal yg pasti , bahwa Mas Wali punya hati nurani, inilah pemimpin yg dibutuhkan dimasa depan. Dan sy yakin Indonesia akan hebat ditangan org ini,"" cuit akun @Be****, seperti dilihat detikJateng, Selasa (3/1/2023).

Gibran merespons komentar warganet ini dengan singkat. ""Itu pencitraan kok,"" cuit Gibran.

Respons Gibran ini ternyata memicu respons warganet lain. Warganet itu kemudian membalas cuitan Gibran dengan menyinggul soal 'pencitraan masuk gorong-gorong'.

""Iyo pencitraan koyok bapakmu masuk gorong gorong,"" cuit akun Twitter @ed****.

Gibran merespons santai cuitan warganet itu. Putra pertama Presiden Joko Widodo (Jokowi) ini me-retweet cuitan itu sambil membubuhkan komentarnya.

""Ya,"" ujar Gibran singkat.

Interaksi antara Gibran dan warganet ini menarik perhatian khalayak. Percakapan keduanya itu telah dilihat lebih dari 16 ribu kali. Beberapa pun turut membubuhkan komentar.

""Gw bukan org pro.. Tpi kek gmn yah.. Ini apaan jir.. Sebatas ini doang gaya protes lu? Klo ada yg gk d sukaa.. Bcara kek.. Yg urgent kek? Lah ini masuk gorong2 doang lu bahas. Trserah lu mau anggap apa. Klo lu merasa ketipu.. Yh lu aja yg gk bs mikir.. Pala apaan?"" cuit akun @fo****.

""Mas wali santuy saja.... nge-tweet cukup jawab Ya... mas wali ancen jos tenan,"" tulis akun @ki****.

Gibran Posting Foto Anies Baswedan Masuk Gorong-gorong

Wali Kota Solo Gibran Rakabuming Raka mengunggah foto mantan Gubernur DKI Jakarta Anies Baswedan saat sedang masuk ke gorong-gorong. Gibran mengunggah foto itu di akun Twitternya @gibran_tweet. Anies pun membalasnya.

""Sedang santai ngopi di rumah tiba-tiba mata kedutan. Jebul lagek dirasani (ternyata sedang digunjingkan)... :),"" tulis Anies.

Saat dimintai konfirmasi soal postingan foto Anies Baswedan itu, Gibran mengatakan tak ada maksud apa-apa.

""Yo ra piye-piye. Aku karo Pak Anies santai-santai wae (Ya tidak ada apa-apa. Aku dan Pak Anies santai-santai saja). Biar orang yang menilai. Aku maksude (maksudnya) bercanda. Mosok semua pernah masuk got, termasuk saya ya. Ngopo to (kenapa sih) masuk got? Biasa to? Santai wae (saja),"" kata Gibran saat ditemui di Balai Kota Solo, Kamis (5/1).



Simak Video ""Momen Gibran Main Bulu Tangkis Bareng Taufik Hidayat""

","Tim Detikjateng, Https, Www.Facebook.Com Detikcom, Tim Detikjateng -",detikJateng,Gibran Rakabuming soal Gorong-gorong dan Foto Anies Baswedan  detikJateng,"Sun, 08 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vbmV3cy5kZXRpay5jb20vcGVtaWx1L2QtNjQ5NjAwNi9kaXNpbmdndW5nLXBlbmNpdHJhYW4tc29hbC1tYXN1ay1nb3JvbmctZ29yb25nLWdpYnJhbi1qYXdhYi1iZWdpbmnSAW5odHRwczovL25ld3MuZGV0aWsuY29tL3BlbWlsdS9kLTY0OTYwMDYvZGlzaW5nZ3VuZy1wZW5jaXRyYWFuLXNvYWwtbWFzdWstZ29yb25nLWdvcm9uZy1naWJyYW4tamF3YWItYmVnaW5pL2FtcA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Disinggung Pencitraan soal 'Masuk Gorong-gorong', Gibran Jawab Begini - detikNews","Wali Kota Solo Gibran Rakabuming Raka merespons salah seorang netizen yang menyebut soal pencitraan 'masuk gorong-gorong'. Gibran merespons santai.

Salah seorang netizen itu menyinggung soal 'pencitraan masuk gorong-gorong' Gibran Rakabuming Raka. Komentar netizen itu merespons salah satu unggahan video Gibran di akun @gibran_tweet.

Video tersebut memperlihatkan momen saat Gibran meminta anak-anak peserta upacara yang kehujanan untuk masuk ke tribun. Dalam momen selanjutnya, Gibran tampak naik ke mimbar pidato dan memberikan sambutannya di bawah guyuran hujan.

""Terlepas dari ini pencitraan atau gak, tapi 1 hal yg pasti , bahwa Mas Wali punya hati nurani, inilah pemimpin yg dibutuhkan dimasa depan. Dan sy yakin Indonesia akan hebat ditangan org ini,"" cuit akun @Be****, seperti dilihat detikJateng, Selasa (3/1/2023).

Gibran merespons komentar warganet ini dengan singkat. ""Itu pencitraan kok,"" cuit Gibran.

Respons Gibran ini ternyata memicu respons warganet lain. Warganet itu kemudian membalas cuitan Gibran dengan menyinggul soal 'pencitraan masuk gorong-gorong'.

Baca selengkapnya di sini.

Simak juga 'Cerita Gibran Saat Popularitasnya Tinggi, Tapi yang Tidak Suka Banyak':





","Tim Detikjateng, Https, Www.Facebook.Com Detikcom, Tim Detikjateng -",detikNews,"Disinggung Pencitraan soal 'Masuk Gorong-gorong', Gibran Jawab Begini  detikNews","Tue, 03 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmNubmluZG9uZXNpYS5jb20vbmFzaW9uYWwvMjAyMzAxMDUxNDQ3MTYtMzItODk2NjM3L2tyb25vbG9naS1naWJyYW4tcG9zdGluZy1mb3RvLWFuaWVzLWRpLWdvcm9uZy1nb3JvbmfSAXdodHRwczovL3d3dy5jbm5pbmRvbmVzaWEuY29tL25hc2lvbmFsLzIwMjMwMTA1MTQ0NzE2LTMyLTg5NjYzNy9rcm9ub2xvZ2ktZ2licmFuLXBvc3RpbmctZm90by1hbmllcy1kaS1nb3JvbmctZ29yb25nL2FtcA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Kronologi Gibran Posting Foto Anies di Gorong-gorong - CNN Indonesia,"Kronologi Gibran Posting Foto Anies di Gorong-gorong

CNN Indonesia

Gibran unggah foto Anies sedang berada di gorong-gorong. (CNN Indonesia/Rosyid)

--

Anak sulung Presiden Joko Widodo sekaligus Wali Kota Solo, Gibran Rakabuming Raka tiba-tiba mengunggah foto mantan Gubernur DKI Jakarta Anies Baswedan yang berada di gorong-gorong di akun Twitternya @gibran_tweet.

Kehebohan ini dimulai setelah Gibran diprovokasi oleh salah satu warganet. Warganet itu mengkritik Gibran yang melakukan pencitraan seperti Jokowi yang pernah masuk gorong-gorong. Cuitan warganet yang mengkritik Gibran itu sudah dihapus.

Gibran hanya membalas kritikan itu dengan kata ""oh"" disertai foto Anies Baswedan yang terlihat masuk ke gorong-gorong.

Dalam foto yang diunggah Gibran itu terlihat Anies sedang ikut membersihkan selokan dari sampah yang mulai menghitam.

Unggahan foto oleh Gibran itu langsung dibalas oleh Anies. Anies mengaku terkejut sedang santai di rumahnya tiba-tiba jadi bahan pergunjingan.

""Sedang santai ngopi di rumah tiba-tiba mata kedutan. Jebul lagek dirasani.. :),"" balas Anies lewat akun Twitternya @aniesbaswedan.

Kehebohan tak berhenti sampai di situ, Gibran kembali membalas cuitan Anies tersebut. Kini, Gibran mengunggah maskot produk es krim Mixue yang sedang tersenyum.

Gibran sudah memberi klarifikasi bahwa foto Anies yang ia unggah hanya sebagai guyonan alias bercanda.

""Yo ra piye-piye. Aku karo Pak Anies santai-santai wae (Ya tidak ada apa-apa. Aku dan Pak Anies santai-santai saja). Biar orang yang menilai. Aku maksude (maksudnya) bercanda. Mosok semua pernah masuk got, termasuk saya ya. Ngopo to (kenapa sih) masuk got? Biasa to? Santai wae (saja),"" kata Gibran saat ditemui di Balai Kota Solo, Kamis (5/1).

Anies dan Gibran pernah bertemu di Solo pada 15 November lalu. Keduanya tampak akrab saat sarapan bersama di sebuah hotel dan menghadiri acara Peringatan Haul ke-111 Habib Ali bin Muhammad Al-Habsyi di area Masjid Ar Riyadh, Pasar Kliwon.","Https, Www.Facebook.Com Cnnindonesia",CNN Indonesia,Kronologi Gibran Posting Foto Anies di Gorong-gorong  CNN Indonesia,"Thu, 05 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5rYXBhbmxhZ2kuY29tL2ZvdG8vYmVyaXRhLWZvdG8vaW5kb25lc2lhL3BvdHJldC1naWJyYW4tcmFrYWJ1bWluZy1wYWthaS1rYWx1bmctYm90b2wtbWl4dWUtc2FhdC1uZ2FudG9yLWJpa2luLW5ldGl6ZW4tc2FsZm9rLmh0bWzSAZEBaHR0cHM6Ly93d3cua2FwYW5sYWdpLmNvbS9hbXAvZm90by9iZXJpdGEtZm90by9pbmRvbmVzaWEvcG90cmV0LWdpYnJhbi1yYWthYnVtaW5nLXBha2FpLWthbHVuZy1ib3RvbC1taXh1ZS1zYWF0LW5nYW50b3ItYmlraW4tbmV0aXplbi1zYWxmb2suaHRtbA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Potret Gibran Rakabuming Pakai Kalung Botol Mixue Saat Ngantor, Bikin Netizen Salfok - KapanLagi.com","Editor KapanLagi

Wali Kota Solo Gibran Rakabuming memang dikenal sebagai pribadi yang kerap tampil unik. Terbaru, putra pertama Presiden Joko Widodo ini tampil nyentrik saat berangkat ke kantor.

Gibran ngantor dengan membawa botol minum terikat dengan kalung di leher. Yang membuat unik, kalung botol minum itu bertuliskan Mixue, brand yang sedang ramai diperbincangkan saat ini. Seperti apa sih potretnya?",,KapanLagi.com,"Potret Gibran Rakabuming Pakai Kalung Botol Mixue Saat Ngantor, Bikin Netizen Salfok  KapanLagi.com","Thu, 05 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LnZpdmEuY28uaWQvdHJlbmRpbmcvMTU2MjIyNC1tb21lbi1naWJyYW4tcmFrYWJ1bWluZy1wYWthaS1rYWx1bmctbWl4dWUtc2FhdC1uZ2FudG9yLWRpLWJhbGFpLWtvdGEtc29sb9IBdmh0dHBzOi8vd3d3LnZpdmEuY28uaWQvYW1wL3RyZW5kaW5nLzE1NjIyMjQtbW9tZW4tZ2licmFuLXJha2FidW1pbmctcGFrYWkta2FsdW5nLW1peHVlLXNhYXQtbmdhbnRvci1kaS1iYWxhaS1rb3RhLXNvbG8?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Momen Gibran Rakabuming Pakai Kalung Mixue Saat Ngantor di Balai Kota Solo - VIVA.co.id,"VIVA Trending – Tingkah Wali Kota Solo, Gibran Rakabuming selalu mencuri perhatian publik. Diketahui bahwa hari ini, untuk pertama kalinya Gibran Rakabuming Raka tak mengenakan masker saat tiba kantornya di Balai Kota Solo, Rabu 4 Januari 2023.

Sebelumnya, Gibran Rakabuming membuat aturan bahwa di Balai Kota Solo diperbolehkan untuk tidak memakai masker. Menilik dari unggahan akun YouTube Solo Times, Gibran ngantor mengenakan kemeja hitam dan berkalung botol Mixue.

Saat momen tersebut, salah satu wartawan bertanya kepada Gibran apakah boleh, tidak mengenakan masker. Gibran pun menjawab memperbolehkan tidak mengenakan masker. Hal ini tentu didasari dengan Surat Edaran yang berlaku.

“Iya boleh nggak pakai maser, copoten (lepas) aja nggak papa. Sesuai SE (Surat Edaran) wae (saja),"" kata Gibran di Balai Kota, Rabu 4 Januari 2023.

Gibran Rakabuming pakai kalung mixue Photo : YouTube Solo Times

Meski begitu, Gibran mengingatkan masker bisa kembali dipakai jika sedang merasa kurang enak badan. Juga, masker bisa dikenakan saat berada di kerumunan.

“Tapi kalau badannya merasa nggak enak pakai masker nggak papa ya. Pusat juga apa pada pakai masker?"" ujar Gibran.

Gibran menegaskan pemakaian masker dianjurkan saat berada di keramaian. Namun semua itu dikembalikan kepada pilihan masyarakat.

“Kan bisa ngukur, lagi enak badan atau nggak enak badan,” pungkasnya.

Menyoal aturan di sekolah, Gibran menyebut untuk warga di lingkungan sekolah tetap dianjurkan memakai masker.

Gibran Rakabuming pakai kalung mixue Photo : YouTube Solo Times

“Ya nanti bertahap. Ini kami terapkan di Balai Kota dulu. Intine (intinya) kalau di sekolah masih banyak anak-anak kecil, tapi aman, tenang saja. Sekolah tetap dianjurkan pakai masker. Nanti kami konsultasikan dengan orang tua murid, tapi amanlah ya,” imbuhnya.

Ditanya soal mengenakan kalung tempat minum es krim Mixue, Gibran enggan menjawab. Kakak dari Kaesang Pangarep itu menjelaskan botol itu dia bawa hanya untuk wadah minum.

“Tak nggo ngombe (buat saya minum),” ujarnya.",Agus Setiawan,VIVA.co.id,Momen Gibran Rakabuming Pakai Kalung Mixue Saat Ngantor di Balai Kota Solo  VIVA.co.id,"Wed, 04 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMipwFodHRwczovL3d3dy5zdWFyYS5jb20vZW50ZXJ0YWlubWVudC8yMDIzLzAxLzA2LzEwMDEzNi9kaWJpbGFuZy1heWFoLXVueXUtYWtzaS1naWJyYW4tcmFrYWJ1bWluZy1yYWthLXBha2FpLWthbHVuZy1ib3RvbC1taXh1ZS1kaXNvcm90LXNla2V0aWthLWx1cGEta2FsYXUtZGlhLXdhbGkta290YdIBpwFodHRwczovL2FtcC5zdWFyYS5jb20vZW50ZXJ0YWlubWVudC8yMDIzLzAxLzA2LzEwMDEzNi9kaWJpbGFuZy1heWFoLXVueXUtYWtzaS1naWJyYW4tcmFrYWJ1bWluZy1yYWthLXBha2FpLWthbHVuZy1ib3RvbC1taXh1ZS1kaXNvcm90LXNla2V0aWthLWx1cGEta2FsYXUtZGlhLXdhbGkta290YQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Dibilang Ayah Unyu, Aksi Gibran Rakabuming Raka Pakai Kalung Botol Mixue Disorot: Seketika Lupa Kalau Dia Wali Kota - Suara.com","Suara.com - Gibran Rakabuming Raka tampil tidak biasa dalam sesi wawancara bareng awak media baru-baru ini. Bagaimana tidak, dia membawa tempat minum dari brand Mixue.

Kakak Kaesang Pangarep ini tampak santai mengalungkan botol tersebut di lehernya. Meskipun di dalam botol tersebut tidak berisi minuman.

Gaya santai Gibran Rakabuming Raka ini pun langsung menuai atensi netizen dan mendulang beragam komentar.

Hal ini terlihat ketika video wawancara putra Presiden Jokowi ini dibagikan oleh akun @rumpi_gosip di Instagram pada Kamis (5/1/2023).

""Fix dia lebih lawak dari Kaesang,"" kata @ami***.

Potret Gibran Rakabuming Pakai Kalung Botol Mixue (YouTube/Solo Times)

""Ini sih lawak sekaligus kompor ya mas Gibran. Tapi gue suka gaya lo,"" timpal @jan***.

""Seketika banyak orang yang lupa kalau dia Wali Kota,"" imbuh @gal***.

""Gemes banget sama mas Gibran. Ayah-ayah yang unyu,"" tambah @man***.

Namun begitu, ada juga netizen yang merasa kalau Gibran Rakabuming Raka memang sengaja lupa melepas botol tersebut.

""Mungkin abis jemput Jan Ethes sekolah. Soalnya aku juga gitu, kalo abis jemput anak suka ngalungin botol minum,"" ujar salah satu netizen.

""Paling kelupaan kebawa punya anaknya,"" sambung lainnya.",,Suara.com,"Dibilang Ayah Unyu, Aksi Gibran Rakabuming Raka Pakai Kalung Botol Mixue Disorot: Seketika Lupa Kalau Dia Wali Kota  Suara.com","Fri, 06 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LmRldGlrLmNvbS9qYXRlbmcvYmVyaXRhL2QtNjQ5ODEyMy9uZXRpemVuLW1pbnRhLWR1aXQtcnAtMzAtanV0YS1naWJyYW4tdGFueWEtYmVnaW5p0gFjaHR0cHM6Ly93d3cuZGV0aWsuY29tL2phdGVuZy9iZXJpdGEvZC02NDk4MTIzL25ldGl6ZW4tbWludGEtZHVpdC1ycC0zMC1qdXRhLWdpYnJhbi10YW55YS1iZWdpbmkvYW1w?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Netizen Minta Duit Rp 30 Juta, Gibran Tanya Begini - detikJateng","Wali Kota Solo Gibran Rakabuming Raka dimintai duit Rp 30 juta oleh salah seorang netizen pengikutnya di Twitter. Gibran pun menanyakan penggunaan uang tersebut.

""mas @gibran_tweet mbok aku disilihi duit 30jt,butuh tenan iki,"" cuit akun @Erwin*** seperti dikutip detikJateng, Rabu (4/1/2023).

Cuitan itu disampaikan netizen dengan me-mention akun Twitter Gibran @gibran_tweet siang ini. Cuitan itu mendapat balasan dari Gibran.

""Buat apa uang sebanyak itu,"" jawab Gibran.

Wali Kota Solo Gibran Rakabuming Raka dimintai duit Rp 30 juta oleh salah seorang netizen pengikutnya di Twitter. Foto: dok. Tangkapan layar Twitter Gibran @gibran_tweet

Respons Gibran ini menuai beragam komentar netizen. Dilihat detikJateng pukul 15.18 WIB, cuitan itu telah mendapat tanda suka 33, 2.438 dilihat, dan di-retweet maupun di-quote tweet sebanyak satu kali.

Di kolom komentar Gibran banyak juga yang meminta uang ke Gibran. Ada juga yang membalas uang itu diminta untuk modal usaha.

""Judi onlen,"" cuit akun Warga Baik.

""Ndepo paling,"" cuit akun Emon Lusk.

Namun, ada juga yang netizen yang mengirimkan potongan video Gibran berkalung botol minum Mixue. ""Apik iku tempat minum,"" cuit akun Kin yang mengirimkan video tersebut.

Momen Gibran Main Bulu Tangkis Bareng Taufik Hidayat","Tim Detikjateng, Https, Www.Facebook.Com Detikcom, Tim Detikjateng -",detikJateng,"Netizen Minta Duit Rp 30 Juta, Gibran Tanya Begini  detikJateng","Wed, 04 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3LnZpdmEuY28uaWQvYmVyaXRhL25hc2lvbmFsLzE1NjE0NTYtY2FuZGFhbi1naWJyYW4tcmFrYWJ1bWluZy1yYWthLXVzYWktcHVsYW5nLWRhcmktdWVhLWRhbi1sYW5nc3VuZy1tYXN1ay1rZXJqYdIBf2h0dHBzOi8vd3d3LnZpdmEuY28uaWQvYW1wL2Jlcml0YS9uYXNpb25hbC8xNTYxNDU2LWNhbmRhYW4tZ2licmFuLXJha2FidW1pbmctcmFrYS11c2FpLXB1bGFuZy1kYXJpLXVlYS1kYW4tbGFuZ3N1bmctbWFzdWsta2VyamE?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Candaan Gibran Rakabuming Raka Usai Pulang dari UEA dan Langsung Masuk Kerja - VIVA.co.id,"VIVA Nasional – Wali Kota Solo, Gibran Rakabuming Raka, telah kembali masuk kerja setelah selama sepekan izin cuti lantaran berangkat ke Abu Dhabi, Uni Emirat Arab (UEA).

Kini, putra sulung Presiden Joko Widodo itu sumringah. Karena dalam kunjungannya ke negara yang dipimpin Mohammed bin Zayed Al Nahyan itu, juga menerima dana hibah untuk Kota Solo senilai US$ 15 juta atau sekitar Rp 236 miliar.

Gibran tiba di Balai Kota Solo sekitar pukul 13.30 WIB. Ia mengaku setelah penerbangan panjang dari Uni Emirat Arab, langsung mendarat di Bandara Soekarno Hatta dan melanjutkan penerbangan ke Solo.

Perjalanan panjang itu, tetap membuat dia masuk kerja. Pada hari pertama masuk kerja ini belum sempat istirahat masuk ke rumah, karena langsung ke kantornya di Balai Kota Solo.

Para awak media yang menunggu di Balai Kota Solo pun menyapa Gibran, setelah turun dari mobil dinasnya dengan berplat AD 1 A.

Gibran yang mengenakan pakaian batik, langsung menyapa balik para wartawan. Ketika disinggung kedatangannya ke balai kota untuk langsung bekerja atau hanya mampir sebentar, ia pun menjawabnya dengan penuh canda.

“Meh nunut turu (mau numpang tidur). Lagi wae (baru saja mendarat). Wis sek (sudah dulu) gaweane akeh (pekerjaan banyak),” kata Gibran tersenyum saat ditemui wartawan di balai Kota Solo, Senin 2 Januari 2023.

Dalam kesempatan itu, dia juga mengatakan setelah menerima pemberian hibah dari Pemerintah UEA, kini proses pencairannya tersebut sedang diurus secara administrasi. Nantinya dana hibah tersebut akan masuk melalui APBN, dan setelah itu baru masuk ke APBD Solo.

“Sek tunggu wae (sebentar tunggu dulu). Kita selesaikan administrasinya dulu sing (yang) penting wis (sudah) oke,” ujar dia.

Gibran menyebut pemerintah UEA memberikan dana hibah kepada Pemerintah Kota Solo sebesar US$ 15 juta. Nantinya dana hibah itu di antaranya akan digunakan untuk rehabilitasi rumah tidak layak huni (RTLH), pengaspalan jalan lingkungan, pembangun GOR indoor Manahan yang mangkrak, posyandu, puskesmas, sekolah-sekolah dan lainnya.

“Nanti penyerahannya (dana hibah) langsung semua (ke Solo) tetapi melalui Kementerian Keuangan baru ke sini (Solo),” ujar dia.

Selain menerima hibah dari pemerintah UEA, lawatan Gibran ke UEA selama sepekan juga untuk bertemu dengan sejumlah tokoh penting di negara tersebut. Seperti putra Presiden UEA yakni Sheikh Khaled bin Mohammed bin Zayed Al Nahyan, Menteri Energi dan Industri UEA Suhail Mohammed Al Mazroui, Duta besar dan pengelola MZ University dan lainnya.

“Datang ke beberapa museum yang saya rasa nanti bisa diterapkan di museum Pedaringan dan Islamic Center. Eh Islamic Center namanya diganti ya, di sana lama karena bahasnya (Islamic Center) alot,” katanya.","Agus Rahmat, Fajar Sodiq, Solo",VIVA.co.id,Candaan Gibran Rakabuming Raka Usai Pulang dari UEA dan Langsung Masuk Kerja  VIVA.co.id,"Mon, 02 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtNjQ5OTQyOS9yZXNwb25zLWdpYnJhbi1zb2FsLTMtYnVwYXRpLWJlbHVtLXJlc3R1aS1wZW1iYW5ndW5hbi10b2wtbGluZ2thci1zb2xv0gFyaHR0cHM6Ly9uZXdzLmRldGlrLmNvbS9iZXJpdGEvZC02NDk5NDI5L3Jlc3BvbnMtZ2licmFuLXNvYWwtMy1idXBhdGktYmVsdW0tcmVzdHVpLXBlbWJhbmd1bmFuLXRvbC1saW5na2FyLXNvbG8vYW1w?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Respons Gibran soal 3 Bupati Belum Restui Pembangunan Tol Lingkar Solo - detikNews,"Wali Kota Solo Gibran Rakabuming Raka merespons soal jalan tol lingkar timur-selatan di luar Kota Solo belum mendapat restu dari tiga bupati yang wilayahnya terdampak, yakni Sukoharjo, Klaten, dan Karanganyar. Gibran menyebut akan berkonsultasi dengan Bina Marga terkait jalan tol lingkar Solo itu.

""Dibicarakan dulu sama Bina Marga,"" kata Gibran saat ditemui di Balai Kota Solo, seperti dilansir detikJateng, Kamis (5/1/2023).

Ketiga bupati itu lebih memilih dibangun jalur lingkar (ring road) daripada jalan tol. Selain itu, keberatan adanya jalan tol lingkar Solo karena ada lahan sawah yang dilindungi (LSD).

""Ya nggak papa, nanti dibicarakan. Dijadwalkan dari Bina Marga dan dirjen-dirjen yang mengurus itu. Biar muter ke Sukoharjo, Karanganyar, Klaten, untuk mematangkan kosepnya dulu dan lain-lain,"" ucap Gibran.

Gibran menilai reaksi ketiga bupati itu merupakan hal yang lumrah. Sebab, kata dia, dalam pembangunan pasti ada pro dan kontra.

""Yang namanya membangun infrastruktur ada pro-kontra. Saya juga belum tahu seberapa luas tanah yang diambil untuk pembangunan infrastruktur, terutama untuk Klaten dan Sukoharjo, ya,"" ujarnya.

Simak selengkapnya di sini.

Lihat juga Video: Jokowi Cek Terowongan Gajah di Tol Pekanbaru





","Agil Trisetiawan Putra, Https, Www.Facebook.Com Detikcom, Agil Trisetiawan Putra -",detikNews,Respons Gibran soal 3 Bupati Belum Restui Pembangunan Tol Lingkar Solo  detikNews,"Thu, 05 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LmxpcHV0YW42LmNvbS9ob3QvcmVhZC81MTcyOTY0LzYtcG90cmV0LXNlbHZpLWFuYW5kYS1kYW4tZ2licmFuLXJha2FidW1pbmctZGktZmluYWwtcGVtaWxpaGFuLXB1dHJhLXB1dHJpLXNvbG8tMjAyMtIBeWh0dHBzOi8vd3d3LmxpcHV0YW42LmNvbS9hbXAvNTE3Mjk2NC82LXBvdHJldC1zZWx2aS1hbmFuZGEtZGFuLWdpYnJhbi1yYWthYnVtaW5nLWRpLWZpbmFsLXBlbWlsaWhhbi1wdXRyYS1wdXRyaS1zb2xvLTIwMjI?oc=5&hl=en-ID&gl=ID&ceid=ID:en,6 Potret Selvi Ananda dan Gibran Rakabuming di Final Pemilihan Putra Putri Solo 2022 - Liputan6.com,"Liputan6.com, Jakarta Ajang Putra Putri Solo 2009 merupakan awal mula pertemuan Selvi Ananda dan Gibran Rakabuming Raka. Pada saat itu Selvi Ananda sebagai peserta sementara Gibran Rakabuming sebagai juri.

Seperti diketahui Selvi Ananda menyandang gelar Putri Solo 2009 tersebut saat usianya 20 tahun. 13 tahun berlalu, menantu Presiden Jokowi itu hadir sebagai Ibu Walikota Solo dan menjadi salah satu tamu undangan penting yang turut hadiri acara grand final Putra Putri Solo 2022.

Advertisement

Malam grand final pemilihan Putra Putri Solo 2022 digelar pada Agustus 2022 lalu. Selvi Ananda dan Gibran Rakabuming pun kenang momen awal pertemuannya dulu sebelum akhirnya memutuskan untuk menikah tahun 2015.

Selain Putra Putri Solo 2022 yang telah terpilih, Selvi – Gibran yang saling bergandengan pun tak lepas dari perhatian. Momen Selvi dan Gibran hadiri ajang tahunan Kota Solo itu juga diunggah di kanal YouTube Berita Surakarta.

Berikut Liputan6.com merangkum dari berbagai sumber tentang potret Selvi Ananda dan Gibran Rakabuming Raka saat hadiri malam grand final pemilihan Putra Putri Solo 2022, Jumat (6/1/2023).",Selma Intania Hafidha,Liputan6.com,6 Potret Selvi Ananda dan Gibran Rakabuming di Final Pemilihan Putra Putri Solo 2022  Liputan6.com,"Fri, 06 Jan 2023 08:00:00 GMT"
