created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Wed Nov 29 23:59:56 +0000 2023,1730013756275699835,@DPP_PKB @aniesbaswedan @cakimiNOW Pemerataan untuk Keadilan Sosial 💚,0,0,0,1,in,351779019,1729813504528650579,ArdyKobar,https://twitter.com/ArdyKobar/status/1730013756275699835
Wed Nov 29 23:59:49 +0000 2023,1730013728538776013,@voiceofpkb @aniesbaswedan @cakimiNOW AMIN pemerataan Ekonomi dan mensejahterakan para Pekerja,0,0,0,0,in,1591443470840782848,1729799082166952113,rz_sani,https://twitter.com/rz_sani/status/1730013728538776013
Wed Nov 29 23:59:40 +0000 2023,1730013691972923743,@DPP_PKB @aniesbaswedan @cakimiNOW Mantaaapppp,0,0,0,0,in,1618525026264973313,1729795434812731393,VincentVf4,https://twitter.com/VincentVf4/status/1730013691972923743
Wed Nov 29 23:59:40 +0000 2023,1730013689758224665,@voiceofpkb @aniesbaswedan @cakimiNOW Amin Untuk Indonesia Sejahtera,0,0,0,1,in,1690723500670193664,1729739988970213732,HendrikHar40798,https://twitter.com/HendrikHar40798/status/1730013689758224665
Wed Nov 29 23:59:37 +0000 2023,1730013678051950693,@DPP_PKB @aniesbaswedan @cakimiNOW 👍,0,0,0,0,qme,911893655685709825,1729795434812731393,HosniselH,https://twitter.com/HosniselH/status/1730013678051950693
Wed Nov 29 23:59:37 +0000 2023,1730013677418615048,@DPP_PKB @cakimiNOW @aniesbaswedan Mantap Gus,0,0,0,0,in,1696518121123975169,1729797180427223399,Eduhutahay21468,https://twitter.com/Eduhutahay21468/status/1730013677418615048
Wed Nov 29 23:59:32 +0000 2023,1730013656799490259,@DPP_PKB @aniesbaswedan @cakimiNOW Sudah waktunya Indonesia mengalami perubahan untuk memperbaiki ketimpangan ekonomi yang semakin melebar 🏦,0,0,0,0,in,912258561404571648,1729813504528650579,HikmatusSyahla,https://twitter.com/HikmatusSyahla/status/1730013656799490259
Wed Nov 29 23:59:24 +0000 2023,1730013623169450345,@DPP_PKB @aniesbaswedan @cakimiNOW Mantap,0,0,0,0,in,1364832785362341889,1729795434812731393,taufighdyt2323,https://twitter.com/taufighdyt2323/status/1730013623169450345
Wed Nov 29 23:59:09 +0000 2023,1730013561681014917,@voiceofpkb @aniesbaswedan @cakimiNOW Pemerataan untuk Keadilan Sosial 💚,0,0,0,0,in,351779019,1729799082166952113,ArdyKobar,https://twitter.com/ArdyKobar/status/1730013561681014917
Wed Nov 29 23:59:07 +0000 2023,1730013552411631626,@DPP_PKB @cakimiNOW @aniesbaswedan Amin Untuk Indonesia Sejahtera,0,0,0,1,in,1690723500670193664,1729797180427223399,HendrikHar40798,https://twitter.com/HendrikHar40798/status/1730013552411631626
Wed Nov 29 23:59:07 +0000 2023,1730013550637470198,@DPP_PKB @aniesbaswedan @cakimiNOW Gagasan yg begini nih yg dirindukan rakyat. Sekarang rakyat udah sadar bahwa gimmic figur tidak lagi memberikan manfaat kepada bangsa ini. Karna yg dibutuhkan adlh kompetensi kepemimpinan. Saatnya AMIN memimpin bangsa ini.,0,0,0,0,in,1642400297577517056,1729795434812731393,zoisitepu,https://twitter.com/zoisitepu/status/1730013550637470198
Wed Nov 29 23:59:03 +0000 2023,1730013533440815419,@DPP_PKB @aniesbaswedan @cakimiNOW Mantap Amin,0,0,0,0,in,1696518121123975169,1729795434812731393,Eduhutahay21468,https://twitter.com/Eduhutahay21468/status/1730013533440815419
Wed Nov 29 23:59:00 +0000 2023,1730013521025646962,@voiceofpkb @aniesbaswedan @cakimiNOW AMIN : Pemerataan ekonomi adalah Highlight dalam visi misinya,0,0,0,0,in,1714256952614875136,1729799082166952113,76Baim60407,https://twitter.com/76Baim60407/status/1730013521025646962
Wed Nov 29 23:58:50 +0000 2023,1730013482391937261,@voiceofpkb @aniesbaswedan @cakimiNOW InsyaAllah AMIN 2024🤲,0,0,0,0,in,1496150119401816065,1729813618030747741,alimterakai,https://twitter.com/alimterakai/status/1730013482391937261
Wed Nov 29 23:58:40 +0000 2023,1730013439203140082,@voiceofpkb @aniesbaswedan @cakimiNOW Pemerataan untuk Keadilan Sosial 💚,0,0,0,0,in,351779019,1729739988970213732,ArdyKobar,https://twitter.com/ArdyKobar/status/1730013439203140082
