created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Wed Nov 29 23:55:10 +0000 2023,1730012558126682481,"Akhir pekan ini capres dan cawapres nomor urut dua, Prabowo Subianto dan Gibran Rakabuming Raka dikabarkan akan mulai berkampanye di sejumlah daerah. https://t.co/VpjCI5Ntgc",0,0,0,1,in,154102750,1730012558126682481,Beritasatu,https://twitter.com/Beritasatu/status/1730012558126682481
Wed Nov 29 23:47:39 +0000 2023,1730010666415890648,"HARUS KONSEKUEN, SESUAI PREDIKATNYA YANG LEBIH TINGGI INTELKTUALNYA DARI CAK IMIN DAN MMD Dapat dibuktikan Bahwa Dirinya Bukan Cawapres Abal abal.  Usai Viral Ijazah Palsu dan Beli Ijazah, dr Tifa Pengen Gibran Rakabuming Unjuk Kepintaran di Debat Cawapres https://t.co/Ho24wZoCXG",0,0,0,2,in,2266842889,1730010666415890648,ZoelHayat,https://twitter.com/ZoelHayat/status/1730010666415890648
Wed Nov 29 23:08:35 +0000 2023,1730000834333909385,Gibran Rakabuming Raka menanggai santai soal sidang perdana gugatan usia capres-cawapres. Dirinya sebut soal itu sudah ada yang mengurus. https://t.co/Ckw5JyovCv,1,4,0,0,in,23343960,1730000834333909385,kompascom,https://twitter.com/kompascom/status/1730000834333909385
Wed Nov 29 22:09:06 +0000 2023,1729985865697681425,"Ketua TKN Prabowo Subianto-Gibran Rakabuming Raka, Rosan Perkasa  Roeslani memastikan Prabowo dan Presiden Jokowi tidak  berbicara mengenai politik saat bertemu di Istana Kepresidenan Bogor,  Jawa Barat,  Selasa (28/11/2023) kemarin. &lt  #Prabowo #Jokowi   https://t.co/vkKjTHvBXX",0,3,0,0,in,23343960,1729985865697681425,kompascom,https://twitter.com/kompascom/status/1729985865697681425
Wed Nov 29 22:07:56 +0000 2023,1729985571014213740,"Juru bicara TKN pasangan capres dan cawapres nomor urut 2,  Prabowo Subianto-Gibran Rakabuming, Dedek Prayudi mengatakan, narasi politik “gemoy” dipakai untuk menggaet milenial dan gen Z. &lt  #Prabowo #Gibran #PrabowoGibran #Pemilu2024KCM #JernihMemilih  https://t.co/wAUyuhpJTt",0,5,0,0,in,23343960,1729985571014213740,kompascom,https://twitter.com/kompascom/status/1729985571014213740
Wed Nov 29 21:42:44 +0000 2023,1729979231499608236,Pasangan Prabowo Subianto-Gibran Rakabuming Raka akan memaksimalkan kampanye di akhir pekan. #Polhuk #AdadiKompas   https://t.co/j374nlirXp,0,0,0,0,in,771030588,1729979231499608236,KompasData,https://twitter.com/KompasData/status/1729979231499608236
Wed Nov 29 21:38:11 +0000 2023,1729978086437818734,Pasangan Prabowo Subianto-Gibran Rakabuming Raka akan memaksimalkan kampanye di akhir pekan. #Polhuk #AdadiKompas   https://t.co/eD7IqkVBud,0,0,0,2,in,255866913,1729978086437818734,hariankompas,https://twitter.com/hariankompas/status/1729978086437818734
Wed Nov 29 18:41:30 +0000 2023,1729933621329588499,"Calon Wakil Presiden Gibran Rakabuming yang juga adalah putra sulung dari Presiden Jokowi mulai tampak sedang asyik membajak Anak Muda"" demi mendapat simpati dari publik.  #OrdeBaruReborn https://t.co/8IjJAF3ytl""",1,1,30,61,in,2695463725,1729933621329588499,triwul82,https://twitter.com/triwul82/status/1729933621329588499
Wed Nov 29 17:29:49 +0000 2023,1729915580780835287,Mana nih yang belum gabung ke barisan Pak @prabowo ?  #prabowosubianto #GibranRakabuming #prabowopresiden #PrabowoGibran2024 #indonesia #indonesian #viral #fyp #politik #ganjarpranowo #aniesbaswedan #pinterpolitik https://t.co/QTuDH4qkv1,3,21,19,47,in,1579126996537290752,1729915580780835287,mypresidentid,https://twitter.com/mypresidentid/status/1729915580780835287
Wed Nov 29 17:06:25 +0000 2023,1729909693060149447,"Pak jokowi baca tidak ya?  Diakhir artikel, Financial Times menyoroti berbagai isu hukum dan politik yg kontroversial, serta mengaitkannya dg kepresidenan Jokowi. Seperti putusan Mahkamah Konstitusi yg memungkinkan anak Presiden Jokowi, Gibran Rakabuming, maju sebagai Cawapres.",0,0,0,0,in,375294723,1729909693060149447,BusuMaju,https://twitter.com/BusuMaju/status/1729909693060149447
