created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Wed Nov 29 23:59:57 +0000 2023,1730013760507810263,"Jangan khawatir, gabung pun pemenangnya tetap Ganjar &amp  Mahfud MD, ini suara rakyat.",0,0,0,2,in,1516257213848776706,1730013760507810263,Harsianto8,https://twitter.com/Harsianto8/status/1730013760507810263
Wed Nov 29 23:50:22 +0000 2023,1730011350838243639,"@kompascom Sekedar mengingatkan, Mahfud MD sering bikin blunder, omongan nya kadang menusuk calon pasangan nya, tidak se frekwensi dgn Ganjar. Prediksi saya nggak posisi nya tetap di no 3",0,0,0,1,in,1036621091161010177,1729859877177356639,D002832,https://twitter.com/D002832/status/1730011350838243639
Wed Nov 29 23:45:25 +0000 2023,1730010101992620519,@Gus_Raharjo Aku sih pilih Ganjar Pranowo dan Mahfud MD pemimpin yang mendengarkan aspirasi dengan baik tenang dan merangkul,0,0,0,0,in,1677867913360084993,1729718931383058701,romelyjuju,https://twitter.com/romelyjuju/status/1730010101992620519
Wed Nov 29 23:42:40 +0000 2023,1730009413262733737,@KATADATAcoid semangat pak Ganjar Pranowo dan Mahfud MD,0,0,0,0,in,1687784305769189376,1729523942015246628,ERambawa67114,https://twitter.com/ERambawa67114/status/1730009413262733737
Wed Nov 29 23:40:13 +0000 2023,1730008796326723923,@TeddGus Terserah Lo aja tedd. Buat gw ga ngaruh. Yang penting buat gw Ganjar Pranowo Mahfud MD menang. Biar negara ini selamat,0,0,0,0,in,340619855,1729338304095834597,sk_surdi,https://twitter.com/sk_surdi/status/1730008796326723923
Wed Nov 29 23:37:25 +0000 2023,1730008091280990232,"Calon Wakil Presiden nomor urut 3 Mahfud MD melakukan kampanye perdana untuk Pilpres 2024 di ujung paling barat Indonesia, yakni di Kota Sabang, Aceh, Selasa (28/11/2023).  Kampanye Mahfud yang bertajuk Tatap Muka Gerak Cepat Ganjar-Mahfud"" itu digelar di Taman Pasi gampong… https://t.co/c8HvgJlYSB""",0,0,17,20,in,2650421658,1730008091280990232,NgkongRoses,https://twitter.com/NgkongRoses/status/1730008091280990232
Wed Nov 29 23:36:46 +0000 2023,1730007925618590070,@ganjarpranowo @mohmahfudmd Sukses selalu Ganjar Pranowo dan Mahfud MD semoga kampanye yang dilakukan bisa sukses dan membantu bangsa untuk bisa lebih maju dan makmur masyarakat nya,0,0,0,0,in,1679496540975681541,1729814315337945468,PrimroseeRp,https://twitter.com/PrimroseeRp/status/1730007925618590070
Wed Nov 29 23:33:33 +0000 2023,1730007115681681682,@GandaMa20147903 @HmfaqihA Sedikit bocoran dari Pusat. Yang memimpin Indonesia 2024 adalah Pak Ganjar Pranowo dan pak Mahfud MD. Kalau menteri menterinya yang menjabat belum tahu. 😍,0,0,0,0,in,536445314,1728382204739469668,annisaroman,https://twitter.com/annisaroman/status/1730007115681681682
Wed Nov 29 23:33:18 +0000 2023,1730007054377705548,@Eddhie12 @mochamadarip Nih yg ngamuk bukan pihak kami anis imin ato yth p.H ganjar dan Yg mulya. prof dr Mahfud md SH SU SIP.bukan yah...! Nih di vidio.yg ngamuk2 mah. https://t.co/Q120ZgttjY,0,0,0,0,in,1541026886804832258,1729772745624330453,barisoegriwa,https://twitter.com/barisoegriwa/status/1730007054377705548
Wed Nov 29 23:31:05 +0000 2023,1730006496073920623,"84 Persen Pejabat Lulusan Perguruan Tinggi Korup, Mahfud Md: Berani Saja tapi Tidak Bersih, Bahaya https://t.co/veJRwe5NY6 #TempoNasional",0,6,4,7,in,18129942,1730006496073920623,tempodotco,https://twitter.com/tempodotco/status/1730006496073920623
Wed Nov 29 23:26:12 +0000 2023,1730005269177118757,"@newIding30 @kangmul89 @KangYan51682470 @zenondown @rpanggahza @goenawangn @Nurhadi40083478 @ann_fanany @KasrulSani89012 @__whiteenle @_BungHerwin @albert_morafia @AnaroyanM31878 @Annas_Cim @Bang_San77 @anton_wka Selamat pagi semua.... Sebelum beraktivitas jangan lupa untuk sarapan dulu, agar fit tenaga dan pikiran.  Salam menang terhormat buat pasangan capres-cawapres Ganjar Pranowo dan Mahfud MD.  Coblos NOMOR 3 🤟",0,1,0,5,in,1629815240790773760,1730000615575859365,1973Suharjito,https://twitter.com/1973Suharjito/status/1730005269177118757
Wed Nov 29 23:23:27 +0000 2023,1730004575787340147,@Bisniscom Maju terus dukung pak Ganjar Pranowo dan pak Mahfud MD untuk Indonesia maju,0,0,0,0,in,1696687684679593984,1729854360623223208,SetyoSe63275,https://twitter.com/SetyoSe63275/status/1730004575787340147
Wed Nov 29 23:22:21 +0000 2023,1730004300632670666,@jpnncom Rakyat Indonesia pasti akan mendukung pak Ganjar dan pak Mahfud MD untuk menjadi presiden dan wakil presiden tahun 2024,0,0,0,0,in,1696687684679593984,1729836909571293389,SetyoSe63275,https://twitter.com/SetyoSe63275/status/1730004300632670666
Wed Nov 29 23:13:51 +0000 2023,1730002161533419802,Ramai Nama Eks KaBIN Hendropriyono dan Master Limbad Masuk TPN Ganjar-Mahfud MD https://t.co/8gE79IrmVh,0,0,0,0,in,1655524487646048256,1730002161533419802,CelahSumbar,https://twitter.com/CelahSumbar/status/1730002161533419802
Wed Nov 29 23:11:07 +0000 2023,1730001471260053619,Mahfud MD Ajak Pemda Sabang Rawat Makam Tengku Pasi https://t.co/8jqfh3gOqj,0,0,0,0,in,584835300,1730001471260053619,GesuriID,https://twitter.com/GesuriID/status/1730001471260053619
Wed Nov 29 23:07:04 +0000 2023,1730000453730205759,"Sidang Dugaan Kampanye di Luar Jadwal, Mahfud MD Dituding Langgar UU Pemilu https://t.co/fvH1jZz9E0",2,0,35,61,in,887743587579944960,1730000453730205759,OposisiCerdas,https://twitter.com/OposisiCerdas/status/1730000453730205759
Wed Nov 29 23:03:05 +0000 2023,1729999448691126432,"Data Pemilu 2024 di KPU diduga bocor, pemerintah sebut tak ada unsur politik, Cak Imin dan Mahfud MD bereaksi.  #TribunKaltim #Pemilu2024 #DPTPemilu2024 #DataKPUBocor   https://t.co/x6b9jHw4bs lewat @tribunnews",0,0,0,0,in,103551225,1729999448691126432,tribunkaltim,https://twitter.com/tribunkaltim/status/1729999448691126432
Wed Nov 29 22:58:14 +0000 2023,1729998230484844836,"Aceh untuk #GanjarMahfud2024 🤟🤟  Warung Kopi MD yang berada di seberang Puskesmas Jaboi, Kecamatan Sukajaya, Kota Sabang, Aceh mendadak riuh.  Setiba, datang sosok Calon Wakil Presiden (cawapres) nomor urut tiga, Mahfud MD menghampiri para milenial dan generasi Z untuk… https://t.co/0IYSzChVJX",0,1,22,39,in,2650421658,1729998230484844836,NgkongRoses,https://twitter.com/NgkongRoses/status/1729998230484844836
Wed Nov 29 22:56:42 +0000 2023,1729997843568681275,"Ganjar Pranowo ke Merauke, Papua Selatan, dan Mahfud MD ke Sabang, Aceh. Ini menjadi strategi gerak cepat Ganjar-Mahfud untuk bertemu dengan masyarakat.  #PDIPerjuangan #GanjarUntukSemua #GanjarPresiden #MEnangkanGAnjar #GanjarMahfud #GanjarMahfud2024 https://t.co/rTKu1RDlAX",0,0,0,0,in,1539653855105159168,1729997843568681275,Ketik_salah24,https://twitter.com/Ketik_salah24/status/1729997843568681275
Wed Nov 29 22:52:10 +0000 2023,1729996704207020099,@sapi05490638 Dukungan kepada Ganjar Pranowo dan Mahfud Md terus bertambah,0,0,0,0,in,1618632655167426560,1729851698435211313,aldistiawan768,https://twitter.com/aldistiawan768/status/1729996704207020099
