created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Wed Nov 29 23:54:22 +0000 2023,1730012354862354874,Persiapan konsolidasi Nasional AMIN @cakimiNOW @DPP_PKB  #DPPPKB #GusIminPresiden #MuhaiminIskandar https://t.co/sqjSD2EWYN,0,0,0,0,in,1662770465344200706,1730012354862354874,kakinun2,https://twitter.com/kakinun2/status/1730012354862354874
Wed Nov 29 23:39:06 +0000 2023,1730008516260483332,"Duet AMIN pede menghadapi debat Pilpres 2024 yang akan segera dilaksanakan. Apalagi bagi sang cawapres, Muhaimin Iskandar (Cak Imin). #newsupdate #update #news #text https://t.co/phT9PgwZew",1,1,3,16,in,759692754985242625,1730008516260483332,kumparan,https://twitter.com/kumparan/status/1730008516260483332
Wed Nov 29 22:57:14 +0000 2023,1729997976809202149,Yuk dukung terus AMIN dan doakan Indonesia segera berubah menjadi lebih baik dgn memenangkan Mas Anies Baswedan dan Gus Muhaimin Iskandar,0,0,0,0,in,16184521,1729997976809202149,f_nusantara,https://twitter.com/f_nusantara/status/1729997976809202149
Wed Nov 29 22:22:36 +0000 2023,1729989264572858784,@DPP_PKB @cakimiNOW @aniesbaswedan Selalu kerja Gus Muhaimin dan PKB masyarakat akan menilai. Sukses selalu Gus Muhaimin Iskandar 🇮🇩🇮🇩🇮🇩💪,0,0,0,0,in,1602168753307148289,1729797180427223399,BakriSella,https://twitter.com/BakriSella/status/1729989264572858784
Wed Nov 29 22:10:04 +0000 2023,1729986108984102927,"Tim Nasional Pemenangan  calon presiden dan calon wakil presiden nomor urut 1, Anies Baswedan  dan Muhaimin Iskandar (Amin) berharap agar proses revisi Undang-Undang  Mahkamah Konstitusi (MK) ditunda hingga akhir penyelenggaraan Pemilu  2024. &lt  #UUMK #MK  https://t.co/lNm4QvMYlh",0,0,0,3,in,23343960,1729986108984102927,kompascom,https://twitter.com/kompascom/status/1729986108984102927
Wed Nov 29 21:29:33 +0000 2023,1729975913021092067,Cawapres Nomor Urut 01 Muhaimin Iskandar (Cak Imin) meminta kader PKB fokus memenangkan pasangan AMIN (Anies-Cak Imin). Jangan terlena hasil survei. #newsupdate #update #news #text https://t.co/C3slA2W8fl,0,0,4,10,in,759692754985242625,1729975913021092067,kumparan,https://twitter.com/kumparan/status/1729975913021092067
Wed Nov 29 21:09:23 +0000 2023,1729970838185951304,@voiceofpkb @aniesbaswedan @cakimiNOW Pemerataan ekonomi adalah bagian dari Visi dan misi cawapres pasangan mas Anies Baswedan dan Gus Muhaimin Iskandar,0,0,0,0,in,1597422824154861568,1729799082166952113,DimanDi52518711,https://twitter.com/DimanDi52518711/status/1729970838185951304
Wed Nov 29 20:48:59 +0000 2023,1729965704009351606,#AniesMuhaimin2024  #AMINAjaDulu . AMIN Anies Baswedan - Muhaimin Iskandar 🥰💗🇮🇩 . https://t.co/uAW4ZuENTI,0,1,3,1,in,1675559847503314944,1729965704009351606,stacitarpeta18,https://twitter.com/stacitarpeta18/status/1729965704009351606
Wed Nov 29 20:41:33 +0000 2023,1729963833840865479,Cawapres nomor urut 1 Muhaimin Iskandar alias Cak Imin menyebut dirinya dan sang capres yakni Anies Baswedan merupakan aktivis pada era orde baru ke era reformasi. #newsupdate #update #news #text https://t.co/uNyWqu4Ytq,0,3,4,29,in,759692754985242625,1729963833840865479,kumparan,https://twitter.com/kumparan/status/1729963833840865479
Wed Nov 29 19:29:36 +0000 2023,1729945724455154047,Ketua Umum PKB Muhaimin Iskandar alias Cak Imin berkelakar kalau mau jadi capres/cawapres itu syaratnya harus pernah merasakan dipecat. #newsupdate #update #news #text https://t.co/m4DljpQEBx,0,0,0,0,in,759692754985242625,1729945724455154047,kumparan,https://twitter.com/kumparan/status/1729945724455154047
