created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Wed Nov 29 23:55:15 +0000 2023,1730012580595528120,"yang menegaskan agar anggota KORPRI Kemhan dapat terus berkontribusi, berprestasi dan berinovasi dalam mewujudkan Indonesia yang lebih baik dan maju.  #Prabowo #PrabowoSubianto #MenhanPrabowo #Herindra #WamenhanRI #Kemhan #KemhanRI #HUTKorpri2023",0,0,0,5,in,714719021816541184,1730012575465889999,Kemhan_RI,https://twitter.com/Kemhan_RI/status/1730012580595528120
Wed Nov 29 23:55:14 +0000 2023,1730012575465889999,"Momen Wamenhan, M. Herindra @herindra87, memimpin Upacara HUT ke-52 KORPRI, di Lapangan Bhinneka Tunggal Ika, Kemhan Jakarta (29/11).  Wamenhan M. Herindra membacakan Amanat Menteri Pertahanan Prabowo Subianto @prabowo, https://t.co/UN6DBPUbKI",0,1,5,27,in,714719021816541184,1730012575465889999,Kemhan_RI,https://twitter.com/Kemhan_RI/status/1730012575465889999
Wed Nov 29 23:55:10 +0000 2023,1730012558126682481,"Akhir pekan ini capres dan cawapres nomor urut dua, Prabowo Subianto dan Gibran Rakabuming Raka dikabarkan akan mulai berkampanye di sejumlah daerah. https://t.co/VpjCI5Ntgc",0,0,0,1,in,154102750,1730012558126682481,Beritasatu,https://twitter.com/Beritasatu/status/1730012558126682481
Wed Nov 29 23:50:41 +0000 2023,1730011427820454264,"Presiden Jokowi adalah seorang presiden, mentor , Guru , tauladan dan Bpk yg sangat baik rendah hati . Beliau bisa mengajarkan seorang Prabowo Subianto menjadi seorang yang humble . Jauh dari sosok Prabowo yg sebelum 2019 . Terima Kasih Pak @jokowi 🙏🏼✌🏼🫰🏼 https://t.co/d0TkIoEKqa",0,0,0,0,in,1598344201409699841,1730011427820454264,TitaMar80993092,https://twitter.com/TitaMar80993092/status/1730011427820454264
Wed Nov 29 23:49:10 +0000 2023,1730011046113632550,@barubikinlol Ganjar Pranowo? Prabowo Subianto? Anis Baswedano? O semua ini saya rubah.,0,2,1,42,in,593490220,1729852949877137761,Goodwindology,https://twitter.com/Goodwindology/status/1730011046113632550
Wed Nov 29 23:46:44 +0000 2023,1730010434306977842,Sri Mulyani mengungkap isi pertemuan antara Presiden Joko Widodo (Jokowi) dan Menteri Pertahanan Prabowo Subianto di Istana Bogor pada Selasa (28/11). https://t.co/mXhR6BJNjj,2,11,7,41,in,69183155,1730010434306977842,detikcom,https://twitter.com/detikcom/status/1730010434306977842
Wed Nov 29 23:35:08 +0000 2023,1730007517206577450,"@DedynurPalakka @jokowi Cuma mengingatkan di surat suara pilpres tidak ada foto Jokowi. Yang ada Prabowo Subianto, Anis Baswedan dan Ganjar Pranowo, yang salah satunya menggantikan Jokowi. Setelah Oktober 2024 Jokowi pensiun dari presiden dan pulang ke Solo, menempati rumah hadiah negara'.",0,0,0,0,in,1589160626101764096,1729771749959426239,surosohariyamt3,https://twitter.com/surosohariyamt3/status/1730007517206577450
Wed Nov 29 23:30:38 +0000 2023,1730006384488648796,Jaringan sudah terstruktur dengan baik yaa  #PolriTidakNetral #Polri #PrabowoArogan #prabowosubianto #PrabowoGibranTakutDebat #PrabowoBukanPanutan #PrabowoGibran https://t.co/T7db460FfE,0,0,0,1,in,1615964192313606144,1730006384488648796,sejatidindaa,https://twitter.com/sejatidindaa/status/1730006384488648796
Wed Nov 29 23:30:22 +0000 2023,1730006315685347793,Keterlibatan Pratikno dalam operasi pengkondisian NU dan merah  #PolriTidakNetral #Polri #PrabowoArogan #prabowosubianto #PrabowoGibranTakutDebat #PrabowoBukanPanutan #PrabowoGibran https://t.co/kPcqJBWJrJ,0,0,0,1,in,1615964192313606144,1730006315685347793,sejatidindaa,https://twitter.com/sejatidindaa/status/1730006315685347793
Wed Nov 29 23:29:12 +0000 2023,1730006025024258141,Ternyata sudah terstruktur ya Polri  #PolriTidakNetral #Polri #PrabowoArogan #prabowosubianto #PrabowoGibranTakutDebat #PrabowoBukanPanutan #PrabowoGibran https://t.co/lOEd2h27Bm,0,0,0,1,in,1615964192313606144,1730006025024258141,sejatidindaa,https://twitter.com/sejatidindaa/status/1730006025024258141
Wed Nov 29 23:29:32 +0000 2023,1730006106762789310,Polri emang beda  #PolriTidakNetral #Polri #PrabowoArogan #prabowosubianto #PrabowoGibranTakutDebat #PrabowoBukanPanutan #PrabowoGibran https://t.co/bYaW3FdryC,0,0,0,1,in,1615964192313606144,1730006106762789310,sejatidindaa,https://twitter.com/sejatidindaa/status/1730006106762789310
Wed Nov 29 23:29:58 +0000 2023,1730006216083112261,Kompaknya Kapolri dan wakapolri sokong Gibran meresahkan tubuh Kepolisian  #PolriTidakNetral #Polri #PrabowoArogan #prabowosubianto #PrabowoGibranTakutDebat #PrabowoBukanPanutan #PrabowoGibran https://t.co/cPdedKFENn,0,0,0,1,in,1615964192313606144,1730006216083112261,sejatidindaa,https://twitter.com/sejatidindaa/status/1730006216083112261
Wed Nov 29 23:27:47 +0000 2023,1730005665496887795,Udah jelas salah malah mau menyangkal  #PrabowoArogan #prabowosubianto #PrabowoGibranTakutDebat #PrabowoBukanPanutan #PrabowoGibran https://t.co/fSdPOKN4zF,0,0,0,1,in,1615919266729193473,1730005665496887795,infovalidd,https://twitter.com/infovalidd/status/1730005665496887795
Wed Nov 29 23:26:15 +0000 2023,1730005279465693301,"Baliho Besar Gagasan Kecil, wkwkwkw  #PrabowoArogan #prabowosubianto #PrabowoGibranTakutDebat #PrabowoBukanPanutan #PrabowoGibran https://t.co/OxGqczxYGY",0,0,0,1,in,1615919266729193473,1730005279465693301,infovalidd,https://twitter.com/infovalidd/status/1730005279465693301
Wed Nov 29 23:24:21 +0000 2023,1730004804267573740,"Rayyanza Diajak Raffi Ahmad Ketemu Prabowo Subianto, Netizen: Apakah Gibran Akan Digantikan Cipung? https://t.co/dHzUgzY6JH",0,0,0,0,in,1349806712,1730004804267573740,nurasmi69,https://twitter.com/nurasmi69/status/1730004804267573740
Wed Nov 29 23:21:24 +0000 2023,1730004061460791336,Banyak Netizen yang menilai Prabowo - GIbran maju capres cawapres tapi minim gagasan  #PrabowoArogan #prabowosubianto #PrabowoGibranTakutDebat #PrabowoBukanPanutan #PrabowoGibran https://t.co/XUk1m7XuKZ,0,0,0,1,in,1615919266729193473,1730004061460791336,infovalidd,https://twitter.com/infovalidd/status/1730004061460791336
