name,text,rt,id
prabowo,"Megawati Soekarnoputri, diyakini akan menjadikan Prabowo dan Puan Maharani, sebagai titik temu pasangan yang akan m… https://t.co/XI9E3ujgDn",0,1552261054964461568
prabowo,"Diremehkan, Citra Pak @prabowo menjadi tertinggi dibandingkan calon lain. 
@gerindra 
Kerja Prabowo Terbukti
Masyar… https://t.co/6o9iHjudkl",3,1551415694738313216
prabowo,"Dulu Tuhan disuruh menangin Prabowo atau kagak disembah lagi, sekarang si Bongek diomelin. Nganggur kagak ada kerjaan apa ya??",0,1551415694738313216
prabowo,"@SantorinisSun Loh miss valak masih menyembah Allah kah, katanya kalau nggak memenangkan Prabowo gak ada lagi yang menyembah Allah",0,1551415694738313216
prabowo,Yth bapak Presiden republik Indonesia Ir Haji JokowiDodo @jokowi dan Yth bapak kepala kepolisian negara republik In… https://t.co/kBh5ce6rYJ,39,1552234605419237376
prabowo,@Dahnilanzar @prabowo Selamat Bersilat.!😁,0,1552234605419237376
prabowo,@Dahnilanzar @prabowo Salam buat bang @Dahnilanzar dan Bpk @prabowo juga pada seluruhnya.🙏😁,0,1552234605419237376
prabowo,Deklarasi Prabowo Capres Digelar Saat Rapimnas 13 Agustus #PrabowoSubianto #DeklarasiCapres #RapimnasGerindra #PKB… https://t.co/ihBPLSFaIq,0,1552234605419237376
prabowo,Partai Gerindra memutuskan untuk memundurkan jadwal rapimnas yang akan mendengarkan pernyataan sikap politik Prabow… https://t.co/X0Xbxx0Wzy,0,1552234605419237376
prabowo,"Megawati Soekarnoputri, diyakini akan menjadikan Prabowo dan Puan Maharani, sebagai titik temu pasangan yang akan m… https://t.co/FngQcZSQyF",0,1552234605419237376
prabowo,Yth bapak Presiden republik Indonesia Ir Haji JokowiDodo @jokowi dan Yth bapak kepala kepolisian negara republik In… https://t.co/kBh5ce6rYJ,39,1552234605419237376
prabowo,@editya77 @rucidewa151 @tatakujiyati @jokowi @ganjarpranowo @prabowo Dapat ini https://t.co/T7wqUALm0X,0,1552234605419237376
prabowo,"Tayang kembali, yuk segera merapat ke Youtube @kemhan_ri.
@prabowo 
NgopiDaring Bela Negara
Indonesia Emas 2045
NKR… https://t.co/lAovFtiiY4",2,1549286666799439872
prabowo,"@TretanMuslim Pasti krna ini yg disalahkan bukan act, tp pendukung prabowo wkwkwk.
Sama aja kelasnya kayak orng bar… https://t.co/vLVdh61RJO",0,1549286666799439872
prabowo,"Kapolri Jenderal Listyo Sigit Prabowo mengatakan, tim khusus sedang bekerja dalam menuntaskan kasus kematian Brigad… https://t.co/HeQSr7P4Ft",1,1552476373855244289
prabowo,"Kapolri Jenderal Listyo Sigit Prabowo mengatakan, tim khusus sedang bekerja dalam menuntaskan kasus kematian Brigad… https://t.co/HeQSr7P4Ft",1,1552476373855244289
prabowo,@cendanao @rucidewa151 @tatakujiyati @jokowi @ganjarpranowo Kalau pemilih bodoh..ga mungkin milih 01 dapetnya 02 sk… https://t.co/wqUZnyKeSD,0,1552476373855244289
prabowo,"Terserah Mbak Puan, anggaplah pertama kali ingin bertemu Pak Prabowo, tetap hari ini Pak Prabowonya sibuk, bagaiman… https://t.co/AIcnH7ezu6",0,1552476373855244289
prabowo,"Ngopi daring tayang siang ini di Youtube @kemhan_RI, segera nonton! 
@prabowo 
NgopiDaring Bela Negara
Merajut Pres… https://t.co/k4FiZ8PaYZ",2,1551476092749447168
prabowo,"Guys para anak berprestasi bangsa hadir di ngopi daring, segera ke Youtube @kemhan_RI sekarang! 

@prabowo 
NgopiDa… https://t.co/nytErVsKUp",1,1551476092871081985
prabowo,"Cebong vs Kadrun itu ibarat air dan minyak.
 Semoga di tahun 2024 bisa menyatu bagaikan Pak Jokowi dan Pak Prabowo… https://t.co/tsJT5V0054",1,1552471174113660928
