keyword,url,title,content,author,publisher,description,publish_date
Gibran Rakabuming,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LmRldGlrLmNvbS9qYXRlbmcvYmVyaXRhL2QtNjUwNDMxNS9naWJyYW4tcmFrYWJ1bWluZy1zb2FsLWdvcm9uZy1nb3JvbmctZGFuLWZvdG8tYW5pZXMtYmFzd2VkYW7SAW5odHRwczovL3d3dy5kZXRpay5jb20vamF0ZW5nL2Jlcml0YS9kLTY1MDQzMTUvZ2licmFuLXJha2FidW1pbmctc29hbC1nb3JvbmctZ29yb25nLWRhbi1mb3RvLWFuaWVzLWJhc3dlZGFuL2FtcA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Gibran Rakabuming soal Gorong-gorong dan Foto Anies Baswedan - detikJateng,,,detikJateng,Gibran Rakabuming soal Gorong-gorong dan Foto Anies Baswedan  detikJateng,"Sun, 08 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vbmV3cy5kZXRpay5jb20vcGVtaWx1L2QtNjQ5NjAwNi9kaXNpbmdndW5nLXBlbmNpdHJhYW4tc29hbC1tYXN1ay1nb3JvbmctZ29yb25nLWdpYnJhbi1qYXdhYi1iZWdpbmnSAW5odHRwczovL25ld3MuZGV0aWsuY29tL3BlbWlsdS9kLTY0OTYwMDYvZGlzaW5nZ3VuZy1wZW5jaXRyYWFuLXNvYWwtbWFzdWstZ29yb25nLWdvcm9uZy1naWJyYW4tamF3YWItYmVnaW5pL2FtcA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Disinggung Pencitraan soal 'Masuk Gorong-gorong', Gibran Jawab Begini - detikNews",,,detikNews,"Disinggung Pencitraan soal 'Masuk Gorong-gorong', Gibran Jawab Begini  detikNews","Tue, 03 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmNubmluZG9uZXNpYS5jb20vbmFzaW9uYWwvMjAyMzAxMDUxNDQ3MTYtMzItODk2NjM3L2tyb25vbG9naS1naWJyYW4tcG9zdGluZy1mb3RvLWFuaWVzLWRpLWdvcm9uZy1nb3JvbmfSAXdodHRwczovL3d3dy5jbm5pbmRvbmVzaWEuY29tL25hc2lvbmFsLzIwMjMwMTA1MTQ0NzE2LTMyLTg5NjYzNy9rcm9ub2xvZ2ktZ2licmFuLXBvc3RpbmctZm90by1hbmllcy1kaS1nb3JvbmctZ29yb25nL2FtcA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Kronologi Gibran Posting Foto Anies di Gorong-gorong - CNN Indonesia,,,CNN Indonesia,Kronologi Gibran Posting Foto Anies di Gorong-gorong  CNN Indonesia,"Thu, 05 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5rYXBhbmxhZ2kuY29tL2ZvdG8vYmVyaXRhLWZvdG8vaW5kb25lc2lhL3BvdHJldC1naWJyYW4tcmFrYWJ1bWluZy1wYWthaS1rYWx1bmctYm90b2wtbWl4dWUtc2FhdC1uZ2FudG9yLWJpa2luLW5ldGl6ZW4tc2FsZm9rLmh0bWzSAZEBaHR0cHM6Ly93d3cua2FwYW5sYWdpLmNvbS9hbXAvZm90by9iZXJpdGEtZm90by9pbmRvbmVzaWEvcG90cmV0LWdpYnJhbi1yYWthYnVtaW5nLXBha2FpLWthbHVuZy1ib3RvbC1taXh1ZS1zYWF0LW5nYW50b3ItYmlraW4tbmV0aXplbi1zYWxmb2suaHRtbA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Potret Gibran Rakabuming Pakai Kalung Botol Mixue Saat Ngantor, Bikin Netizen Salfok - KapanLagi.com",,,KapanLagi.com,"Potret Gibran Rakabuming Pakai Kalung Botol Mixue Saat Ngantor, Bikin Netizen Salfok  KapanLagi.com","Thu, 05 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LnZpdmEuY28uaWQvdHJlbmRpbmcvMTU2MjIyNC1tb21lbi1naWJyYW4tcmFrYWJ1bWluZy1wYWthaS1rYWx1bmctbWl4dWUtc2FhdC1uZ2FudG9yLWRpLWJhbGFpLWtvdGEtc29sb9IBdmh0dHBzOi8vd3d3LnZpdmEuY28uaWQvYW1wL3RyZW5kaW5nLzE1NjIyMjQtbW9tZW4tZ2licmFuLXJha2FidW1pbmctcGFrYWkta2FsdW5nLW1peHVlLXNhYXQtbmdhbnRvci1kaS1iYWxhaS1rb3RhLXNvbG8?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Momen Gibran Rakabuming Pakai Kalung Mixue Saat Ngantor di Balai Kota Solo - VIVA.co.id,,,VIVA.co.id,Momen Gibran Rakabuming Pakai Kalung Mixue Saat Ngantor di Balai Kota Solo  VIVA.co.id,"Wed, 04 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMipwFodHRwczovL3d3dy5zdWFyYS5jb20vZW50ZXJ0YWlubWVudC8yMDIzLzAxLzA2LzEwMDEzNi9kaWJpbGFuZy1heWFoLXVueXUtYWtzaS1naWJyYW4tcmFrYWJ1bWluZy1yYWthLXBha2FpLWthbHVuZy1ib3RvbC1taXh1ZS1kaXNvcm90LXNla2V0aWthLWx1cGEta2FsYXUtZGlhLXdhbGkta290YdIBpwFodHRwczovL2FtcC5zdWFyYS5jb20vZW50ZXJ0YWlubWVudC8yMDIzLzAxLzA2LzEwMDEzNi9kaWJpbGFuZy1heWFoLXVueXUtYWtzaS1naWJyYW4tcmFrYWJ1bWluZy1yYWthLXBha2FpLWthbHVuZy1ib3RvbC1taXh1ZS1kaXNvcm90LXNla2V0aWthLWx1cGEta2FsYXUtZGlhLXdhbGkta290YQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Dibilang Ayah Unyu, Aksi Gibran Rakabuming Raka Pakai Kalung Botol Mixue Disorot: Seketika Lupa Kalau Dia Wali Kota - Suara.com",,,Suara.com,"Dibilang Ayah Unyu, Aksi Gibran Rakabuming Raka Pakai Kalung Botol Mixue Disorot: Seketika Lupa Kalau Dia Wali Kota  Suara.com","Fri, 06 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LmRldGlrLmNvbS9qYXRlbmcvYmVyaXRhL2QtNjQ5ODEyMy9uZXRpemVuLW1pbnRhLWR1aXQtcnAtMzAtanV0YS1naWJyYW4tdGFueWEtYmVnaW5p0gFjaHR0cHM6Ly93d3cuZGV0aWsuY29tL2phdGVuZy9iZXJpdGEvZC02NDk4MTIzL25ldGl6ZW4tbWludGEtZHVpdC1ycC0zMC1qdXRhLWdpYnJhbi10YW55YS1iZWdpbmkvYW1w?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Netizen Minta Duit Rp 30 Juta, Gibran Tanya Begini - detikJateng",,,detikJateng,"Netizen Minta Duit Rp 30 Juta, Gibran Tanya Begini  detikJateng","Wed, 04 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3LnZpdmEuY28uaWQvYmVyaXRhL25hc2lvbmFsLzE1NjE0NTYtY2FuZGFhbi1naWJyYW4tcmFrYWJ1bWluZy1yYWthLXVzYWktcHVsYW5nLWRhcmktdWVhLWRhbi1sYW5nc3VuZy1tYXN1ay1rZXJqYdIBf2h0dHBzOi8vd3d3LnZpdmEuY28uaWQvYW1wL2Jlcml0YS9uYXNpb25hbC8xNTYxNDU2LWNhbmRhYW4tZ2licmFuLXJha2FidW1pbmctcmFrYS11c2FpLXB1bGFuZy1kYXJpLXVlYS1kYW4tbGFuZ3N1bmctbWFzdWsta2VyamE?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Candaan Gibran Rakabuming Raka Usai Pulang dari UEA dan Langsung Masuk Kerja - VIVA.co.id,,,VIVA.co.id,Candaan Gibran Rakabuming Raka Usai Pulang dari UEA dan Langsung Masuk Kerja  VIVA.co.id,"Mon, 02 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtNjQ5OTQyOS9yZXNwb25zLWdpYnJhbi1zb2FsLTMtYnVwYXRpLWJlbHVtLXJlc3R1aS1wZW1iYW5ndW5hbi10b2wtbGluZ2thci1zb2xv0gFyaHR0cHM6Ly9uZXdzLmRldGlrLmNvbS9iZXJpdGEvZC02NDk5NDI5L3Jlc3BvbnMtZ2licmFuLXNvYWwtMy1idXBhdGktYmVsdW0tcmVzdHVpLXBlbWJhbmd1bmFuLXRvbC1saW5na2FyLXNvbG8vYW1w?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Respons Gibran soal 3 Bupati Belum Restui Pembangunan Tol Lingkar Solo - detikNews,,,detikNews,Respons Gibran soal 3 Bupati Belum Restui Pembangunan Tol Lingkar Solo  detikNews,"Thu, 05 Jan 2023 08:00:00 GMT"
Gibran Rakabuming,https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LmxpcHV0YW42LmNvbS9ob3QvcmVhZC81MTcyOTY0LzYtcG90cmV0LXNlbHZpLWFuYW5kYS1kYW4tZ2licmFuLXJha2FidW1pbmctZGktZmluYWwtcGVtaWxpaGFuLXB1dHJhLXB1dHJpLXNvbG8tMjAyMtIBeWh0dHBzOi8vd3d3LmxpcHV0YW42LmNvbS9hbXAvNTE3Mjk2NC82LXBvdHJldC1zZWx2aS1hbmFuZGEtZGFuLWdpYnJhbi1yYWthYnVtaW5nLWRpLWZpbmFsLXBlbWlsaWhhbi1wdXRyYS1wdXRyaS1zb2xvLTIwMjI?oc=5&hl=en-ID&gl=ID&ceid=ID:en,6 Potret Selvi Ananda dan Gibran Rakabuming di Final Pemilihan Putra Putri Solo 2022 - Liputan6.com,,,Liputan6.com,6 Potret Selvi Ananda dan Gibran Rakabuming di Final Pemilihan Putra Putri Solo 2022  Liputan6.com,"Fri, 06 Jan 2023 08:00:00 GMT"
