keyword,url,title,content,author,publisher,description,publish_date
Mahfud MD,https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LmNuYmNpbmRvbmVzaWEuY29tL25ld3MvMjAyMzAxMDMxMzU5NTktNC00MDI0MDgvc2ltYWstcGVuamVsYXNhbi11dHVoLW1haGZ1ZC1tZC1zb2FsLXBlcnB1LWNpcHRhLWtlcmphLWpva293adIBfGh0dHBzOi8vd3d3LmNuYmNpbmRvbmVzaWEuY29tL25ld3MvMjAyMzAxMDMxMzU5NTktNC00MDI0MDgvc2ltYWstcGVuamVsYXNhbi11dHVoLW1haGZ1ZC1tZC1zb2FsLXBlcnB1LWNpcHRhLWtlcmphLWpva293aS9hbXA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Simak Penjelasan Utuh Mahfud MD Soal Perpu Cipta Kerja Jokowi - CNBC Indonesia,,,CNBC Indonesia,Simak Penjelasan Utuh Mahfud MD Soal Perpu Cipta Kerja Jokowi  CNBC Indonesia,"Tue, 03 Jan 2023 08:00:00 GMT"
Mahfud MD,https://news.google.com/rss/articles/CBMihwFodHRwczovL25hc2lvbmFsLmtvbXBhcy5jb20vcmVhZC8yMDIzLzAxLzA0LzA3MjU0MTYxL3BlbmplbGFzYW4tbGVuZ2thcC1tYWhmdWQtbWQtc29hbC1wZXJwcHUtY2lwdGEta2VyamEteWFuZy10dWFpLXByby1rb250cmE_cGFnZT1hbGzSAYIBaHR0cHM6Ly9hbXAua29tcGFzLmNvbS9uYXNpb25hbC9yZWFkLzIwMjMvMDEvMDQvMDcyNTQxNjEvcGVuamVsYXNhbi1sZW5na2FwLW1haGZ1ZC1tZC1zb2FsLXBlcnBwdS1jaXB0YS1rZXJqYS15YW5nLXR1YWktcHJvLWtvbnRyYQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Penjelasan Lengkap Mahfud MD soal Perppu Cipta Kerja yang Tuai Pro-Kontra - Kompas.com - Nasional Kompas.com,,,Nasional Kompas.com,Penjelasan Lengkap Mahfud MD soal Perppu Cipta Kerja yang Tuai Pro-Kontra - Kompas.com  Nasional Kompas.com,"Wed, 04 Jan 2023 08:00:00 GMT"
Mahfud MD,https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5jbm5pbmRvbmVzaWEuY29tL25hc2lvbmFsLzIwMjMwMTAzMTMyNDAxLTMyLTg5NTUwMC9tYWhmdWQtbWQtbXVuZ2tpbi1rYWxhdS1zYXlhLXRpZGFrLW1lbnRlcmkta3JpdGlrLXBlcnBwdS1jaXB0YWtlctIBhAFodHRwczovL3d3dy5jbm5pbmRvbmVzaWEuY29tL25hc2lvbmFsLzIwMjMwMTAzMTMyNDAxLTMyLTg5NTUwMC9tYWhmdWQtbWQtbXVuZ2tpbi1rYWxhdS1zYXlhLXRpZGFrLW1lbnRlcmkta3JpdGlrLXBlcnBwdS1jaXB0YWtlci9hbXA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Mahfud MD: Mungkin Kalau Saya Tidak Menteri, Kritik Perppu Ciptaker - CNN Indonesia",,,CNN Indonesia,"Mahfud MD: Mungkin Kalau Saya Tidak Menteri, Kritik Perppu Ciptaker  CNN Indonesia","Tue, 03 Jan 2023 08:00:00 GMT"
Mahfud MD,https://news.google.com/rss/articles/CBMigQFodHRwczovL25hc2lvbmFsLmtvbXBhcy5jb20vcmVhZC8yMDIzLzAxLzA4LzE1MzcwMDYxL2FsYXNhbi1wZW1lcmludGFoLXRlcmJpdGthbi1wZXJwcHUtY2lwdGEta2VyamEtbWFoZnVkLW1kLXVudHVrLW1lbnllbGFtYXRrYW7SAYUBaHR0cHM6Ly9hbXAua29tcGFzLmNvbS9uYXNpb25hbC9yZWFkLzIwMjMvMDEvMDgvMTUzNzAwNjEvYWxhc2FuLXBlbWVyaW50YWgtdGVyYml0a2FuLXBlcnBwdS1jaXB0YS1rZXJqYS1tYWhmdWQtbWQtdW50dWstbWVueWVsYW1hdGthbg?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Alasan Pemerintah Terbitkan Perppu Cipta Kerja, Mahfud MD: Untuk Menyelamatkan Ekonomi Masyarakat - Kompas.com - Nasional Kompas.com",,,Nasional Kompas.com,"Alasan Pemerintah Terbitkan Perppu Cipta Kerja, Mahfud MD: Untuk Menyelamatkan Ekonomi Masyarakat - Kompas.com  Nasional Kompas.com","Sun, 08 Jan 2023 08:00:00 GMT"
Mahfud MD,https://news.google.com/rss/articles/CBMidWh0dHBzOi8vcG9saXRpay5ybW9sLmlkL3JlYWQvMjAyMy8wMS8wOC81NTk2NTcvbWFoZnVkLW1kLW55ZXJhaC1kaXRhbnRhbmctZGViYXQtYmVnaW5pLWphd2FiYW4tbWVub2hvay1qdW1odXItaGlkYXlhdNIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Mahfud MD Nyerah Ditantang Debat, Begini Jawaban Menohok ... - Rmol.id",,,Rmol.id,"Mahfud MD Nyerah Ditantang Debat, Begini Jawaban Menohok ...  Rmol.id","Sun, 08 Jan 2023 08:00:00 GMT"
Mahfud MD,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vbmV3cy5yZXB1Ymxpa2EuY28uaWQvYmVyaXRhL3JvNmZzNDM3Ny9wZXJwcHUtdXUtY2lwdGEta2VyamEtc2FoLW1haGZ1ZC1tZC1zYXlhLXlhbmctdGFuZ2d1bmctamF3YWLSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Perppu UU Cipta Kerja Sah, Mahfud MD: Saya yang Tanggung ... - Republika Online",,,Republika Online,"Perppu UU Cipta Kerja Sah, Mahfud MD: Saya yang Tanggung ...  Republika Online","Mon, 09 Jan 2023 08:00:00 GMT"
Mahfud MD,https://news.google.com/rss/articles/CBMifGh0dHBzOi8vd3d3LmNubmluZG9uZXNpYS5jb20vbmFzaW9uYWwvMjAyMzAxMDkwOTUyMTYtMTItODk3ODEwL21haGZ1ZC1tZC1zb2FsLWthc3VzLWthbmp1cnVoYW4ta2FsYXUtbWF1LXNheWEtaHVrdW0tbWF0aS1hamHSAYABaHR0cHM6Ly93d3cuY25uaW5kb25lc2lhLmNvbS9uYXNpb25hbC8yMDIzMDEwOTA5NTIxNi0xMi04OTc4MTAvbWFoZnVkLW1kLXNvYWwta2FzdXMta2FuanVydWhhbi1rYWxhdS1tYXUtc2F5YS1odWt1bS1tYXRpLWFqYS9hbXA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Mahfud MD soal Kasus Kanjuruhan: Kalau Mau Saya, Hukum Mati Aja - CNN Indonesia",,,CNN Indonesia,"Mahfud MD soal Kasus Kanjuruhan: Kalau Mau Saya, Hukum Mati Aja  CNN Indonesia","Mon, 09 Jan 2023 08:00:00 GMT"
Mahfud MD,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtNjQ5OTY3OS9yZXNwb25zLXJpemFsLXJhbWxpLXVzYWktZGlzZWJ1dC1tYWtpbi1uZ2F3dXItZGFuLWJvZG9oLW9sZWgtbWFoZnVkLW1k0gFyaHR0cHM6Ly9uZXdzLmRldGlrLmNvbS9iZXJpdGEvZC02NDk5Njc5L3Jlc3BvbnMtcml6YWwtcmFtbGktdXNhaS1kaXNlYnV0LW1ha2luLW5nYXd1ci1kYW4tYm9kb2gtb2xlaC1tYWhmdWQtbWQvYW1w?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Respons Rizal Ramli Usai Disebut Makin Ngawur dan Bodoh oleh Mahfud Md - detikNews,,,detikNews,Respons Rizal Ramli Usai Disebut Makin Ngawur dan Bodoh oleh Mahfud Md  detikNews,"Thu, 05 Jan 2023 08:00:00 GMT"
Mahfud MD,https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vcG9saXRpay5ybW9sLmlkL3JlYWQvMjAyMy8wMS8wNS81NTkzNDAvbWFoZnVkLW1kLWFrYW4tbGViaWgtdGVyaG9ybWF0LWthbGF1LW11bmR1ci1kYXJpLWthYmluZXTSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Mahfud MD Akan Lebih Terhormat Kalau Mundur dari Kabinet - Rmol.id,,,Rmol.id,Mahfud MD Akan Lebih Terhormat Kalau Mundur dari Kabinet  Rmol.id,"Thu, 05 Jan 2023 08:00:00 GMT"
Mahfud MD,https://news.google.com/rss/articles/CBMif2h0dHBzOi8vcG9saXRpay5ybW9sLmlkL3JlYWQvMjAyMy8wMS8wNi81NTk1MjYvc2ViYWdhaS1tYW50YW4ta2V0dWEtbWstbWFoZnVkLWhhcnVzbnlhLW11bmR1ci1rYXJlbmEtYmlhcmthbi1wZXJwcHUtY2lwdGEta2VyamHSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Sebagai Mantan Ketua MK, Mahfud Harusnya Mundur karena ... - Rmol.id",,,Rmol.id,"Sebagai Mantan Ketua MK, Mahfud Harusnya Mundur karena ...  Rmol.id","Fri, 06 Jan 2023 08:00:00 GMT"
Mahfud MD,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vcmVqYWJhci5yZXB1Ymxpa2EuY28uaWQvYmVyaXRhL3JvMWpzODM5Ni9rZXR1YS1rcGstZmlybGktYmFodXJpLXRlbXVpLW1lbmtvLXBvbGh1a2FtLW1haGZ1ZC1tZC1hZGEtYXBh0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Ketua KPK Firli Bahuri Temui Menko Polhukam Mahfud MD, Ada ... - Republika Online",,,Republika Online,"Ketua KPK Firli Bahuri Temui Menko Polhukam Mahfud MD, Ada ...  Republika Online","Fri, 06 Jan 2023 08:00:00 GMT"
Mahfud MD,https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3LmZhamFyLmNvLmlkLzIwMjMvMDEvMDYvbWFoZnVkLW1kLWJvY29ya2FuLXBlbnllYmFiLXJ1c2FrbnlhLWtlaGlkdXBhbi1zdWF0dS1uZWdhcmEtYW5kaS1zaW51bGluZ2dhLW1lbWFuZy10b3Av0gF-aHR0cHM6Ly93d3cuZmFqYXIuY28uaWQvMjAyMy8wMS8wNi9tYWhmdWQtbWQtYm9jb3JrYW4tcGVueWViYWItcnVzYWtueWEta2VoaWR1cGFuLXN1YXR1LW5lZ2FyYS1hbmRpLXNpbnVsaW5nZ2EtbWVtYW5nLXRvcC9hbXAv?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Mahfud MD Bocorkan Penyebab Rusaknya Kehidupan Suatu Negara, Andi Sinulingga: Memang Top - FAJAR.CO.ID",,,FAJAR.CO.ID,"Mahfud MD Bocorkan Penyebab Rusaknya Kehidupan Suatu Negara, Andi Sinulingga: Memang Top  FAJAR.CO.ID","Fri, 06 Jan 2023 08:00:00 GMT"
