keyword,url,title,content,author,publisher,description,publish_date
Muhaimin Iskandar,https://news.google.com/rss/articles/CBMid2h0dHBzOi8vbmFzaW9uYWwub2tlem9uZS5jb20vcmVhZC8yMDIzLzAxLzA2LzMzNy8yNzQxMjc5L3NpYXBhLWl0dS1ndXMtbXVoYWltaW4taXNrYW5kYXItdGVybnlhdGEtcHVueWEtamFiYXRhbi1wZW50aW5n0gF2aHR0cHM6Ly9uYXNpb25hbC5va2V6b25lLmNvbS9hbXAvMjAyMy8wMS8wNi8zMzcvMjc0MTI3OS9zaWFwYS1pdHUtZ3VzLW11aGFpbWluLWlza2FuZGFyLXRlcm55YXRhLXB1bnlhLWphYmF0YW4tcGVudGluZw?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Siapa Itu Gus Muhaimin Iskandar? Ternyata Punya Jabatan Penting - Okezone News,,,Okezone News,Siapa Itu Gus Muhaimin Iskandar? Ternyata Punya Jabatan Penting  Okezone News,"Fri, 06 Jan 2023 08:00:00 GMT"
Muhaimin Iskandar,https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmRpYWxla3Npcy5jb20vbmFzaW9uYWwvcGtiLWRpa2FiYXJrYW4tbWVyYXBhdC1rZS1rb2FsaXNpLW5hc2RlbS1rZXR1bS1wa2ItbWFzaWgtc2V0aWEtYmVyc2FtYS1nZXJpbmRyYS_SAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"PKB Dikabarkan Merapat ke Koalisi NasDem, Ketum PKB: Masih ... - Dialeksis",,,Dialeksis,"PKB Dikabarkan Merapat ke Koalisi NasDem, Ketum PKB: Masih ...  Dialeksis","Sun, 08 Jan 2023 08:00:00 GMT"
Muhaimin Iskandar,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3Lmphd2Fwb3MuY29tL3BvbGl0aWsvMDE0MjkzMDkvb2dhaC1iZXJwYWxpbmctY2FrLWltaW4tbWFzaWgtdHVuZ2d1LWthYmFyLXByYWJvd2_SAV9odHRwczovL3d3dy5qYXdhcG9zLmNvbS9wb2xpdGlrL2FtcC8wMTQyOTMwOS9vZ2FoLWJlcnBhbGluZy1jYWstaW1pbi1tYXNpaC10dW5nZ3Uta2FiYXItcHJhYm93bw?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Ogah Berpaling, Cak Imin Masih Tunggu Kabar Prabowo - Jawa Pos - JawaPos",,,JawaPos,"Ogah Berpaling, Cak Imin Masih Tunggu Kabar Prabowo - Jawa Pos  JawaPos","Sun, 08 Jan 2023 08:00:00 GMT"
Muhaimin Iskandar,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vbmV3cy5kZXRpay5jb20vcGVtaWx1L2QtNjUwNDEzMy9yZXNwb25zLWNhay1pbWluLXNvYWwtaXN1LWphamFrLWtvYWxpc2ktYmFyZW5nLW5hc2RlbS1qYWRpLWNhd2FwcmVzLWFuaWVz0gF1aHR0cHM6Ly9uZXdzLmRldGlrLmNvbS9wZW1pbHUvZC02NTA0MTMzL3Jlc3BvbnMtY2FrLWltaW4tc29hbC1pc3UtamFqYWsta29hbGlzaS1iYXJlbmctbmFzZGVtLWphZGktY2F3YXByZXMtYW5pZXMvYW1w?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Respons Cak Imin soal Isu Jajak Koalisi Bareng NasDem Jadi Cawapres Anies - detikNews,,,detikNews,Respons Cak Imin soal Isu Jajak Koalisi Bareng NasDem Jadi Cawapres Anies  detikNews,"Sun, 08 Jan 2023 08:00:00 GMT"
Muhaimin Iskandar,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LmFudGFyYW5ld3MuY29tL2Jlcml0YS8zMzQwNTk2L211aGFpbWluLXRlZ2Fza2FuLXBrYi10b2xhay1zaXN0ZW0tcHJvcG9yc2lvbmFsLXRlcnR1dHVwLXBlbWlsddIBa2h0dHBzOi8vbS5hbnRhcmFuZXdzLmNvbS9hbXAvYmVyaXRhLzMzNDA1OTYvbXVoYWltaW4tdGVnYXNrYW4tcGtiLXRvbGFrLXNpc3RlbS1wcm9wb3JzaW9uYWwtdGVydHV0dXAtcGVtaWx1?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Muhaimin tegaskan PKB tolak sistem proporsional tertutup pemilu - ANTARA,,,ANTARA,Muhaimin tegaskan PKB tolak sistem proporsional tertutup pemilu  ANTARA,"Sun, 08 Jan 2023 08:00:00 GMT"
Muhaimin Iskandar,https://news.google.com/rss/articles/CBMif2h0dHBzOi8vd3d3LnRyaWJ1bm5ld3MuY29tL25hc2lvbmFsLzIwMjMvMDEvMDgva2V0dWEtdW11bS1wa2ItbXVoYWltaW4taXNrYW5kYXItcGltcGluLXBlbmFuZGF0YW5nYW5hbi1wZXRpc2ktcGVybGluZHVuZ2FuLWFuYWvSAYEBaHR0cHM6Ly9tLnRyaWJ1bm5ld3MuY29tL2FtcC9uYXNpb25hbC8yMDIzLzAxLzA4L2tldHVhLXVtdW0tcGtiLW11aGFpbWluLWlza2FuZGFyLXBpbXBpbi1wZW5hbmRhdGFuZ2FuYW4tcGV0aXNpLXBlcmxpbmR1bmdhbi1hbmFr?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Ketua Umum PKB Muhaimin Iskandar Pimpin Penandatanganan Petisi Perlindungan Anak - Tribunnews.com,,,Tribunnews.com,Ketua Umum PKB Muhaimin Iskandar Pimpin Penandatanganan Petisi Perlindungan Anak  Tribunnews.com,"Sun, 08 Jan 2023 08:00:00 GMT"
Muhaimin Iskandar,https://news.google.com/rss/articles/CBMifGh0dHBzOi8vbmFzaW9uYWwua29tcGFzLmNvbS9yZWFkLzIwMjMvMDEvMDMvMDkyNjMyMTEvYnVrYS1wZWx1YW5nLWRlbmdhbi1uYXNkZW0tcGtiLWRpbmlsYWktdGFrLXB1YXMtZGVuZ2FuLWdlcmluZHJhLXRlcmthaXTSAYABaHR0cHM6Ly9hbXAua29tcGFzLmNvbS9uYXNpb25hbC9yZWFkLzIwMjMvMDEvMDMvMDkyNjMyMTEvYnVrYS1wZWx1YW5nLWRlbmdhbi1uYXNkZW0tcGtiLWRpbmlsYWktdGFrLXB1YXMtZGVuZ2FuLWdlcmluZHJhLXRlcmthaXQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Buka Peluang dengan Nasdem, PKB Dinilai Tak Puas dengan Gerindra Terkait Muhaimin - Kompas.com - Nasional Kompas.com",,,Nasional Kompas.com,"Buka Peluang dengan Nasdem, PKB Dinilai Tak Puas dengan Gerindra Terkait Muhaimin - Kompas.com  Nasional Kompas.com","Tue, 03 Jan 2023 08:00:00 GMT"
Muhaimin Iskandar,https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtNjQ5NzQ2Mi9jYWstaW1pbi1hcHJlc2lhc2ktbGFuZ2thaC1qb2tvd2ktc29hbC1wZW51cnVuYW4taGFyZ2EtYmJt0gFmaHR0cHM6Ly9uZXdzLmRldGlrLmNvbS9iZXJpdGEvZC02NDk3NDYyL2Nhay1pbWluLWFwcmVzaWFzaS1sYW5na2FoLWpva293aS1zb2FsLXBlbnVydW5hbi1oYXJnYS1iYm0vYW1w?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Cak Imin Apresiasi Langkah Jokowi soal Penurunan Harga BBM - detikNews,,,detikNews,Cak Imin Apresiasi Langkah Jokowi soal Penurunan Harga BBM  detikNews,"Wed, 04 Jan 2023 08:00:00 GMT"
Muhaimin Iskandar,https://news.google.com/rss/articles/CBMia2h0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtNjQ5OTk5NS9jYWstaW1pbi1taW50YS1wZW1lcmludGFoLXBlcmtldGF0LWFrc2VzLW1hc3VrLXBlbGFuY29uZy1hc2FsLWNoaW5h0gFvaHR0cHM6Ly9uZXdzLmRldGlrLmNvbS9iZXJpdGEvZC02NDk5OTk1L2Nhay1pbWluLW1pbnRhLXBlbWVyaW50YWgtcGVya2V0YXQtYWtzZXMtbWFzdWstcGVsYW5jb25nLWFzYWwtY2hpbmEvYW1w?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Cak Imin Minta Pemerintah Perketat Akses Masuk Pelancong Asal China - detikNews,,,detikNews,Cak Imin Minta Pemerintah Perketat Akses Masuk Pelancong Asal China  detikNews,"Thu, 05 Jan 2023 08:00:00 GMT"
Muhaimin Iskandar,https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtNjUwMzM3Ni9iYXJlbmcta2lhaS1zYWlkLWNhay1pbWluLWhhZGlyaS1oYXVsLWtoci16YW1ydWRkaW4tZGktc2xlbWFu0gFpaHR0cHM6Ly9uZXdzLmRldGlrLmNvbS9iZXJpdGEvZC02NTAzMzc2L2JhcmVuZy1raWFpLXNhaWQtY2FrLWltaW4taGFkaXJpLWhhdWwta2hyLXphbXJ1ZGRpbi1kaS1zbGVtYW4vYW1w?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Bareng Kiai Said, Cak Imin Hadiri Haul KHR Zamruddin di Sleman - detikNews",,,detikNews,"Bareng Kiai Said, Cak Imin Hadiri Haul KHR Zamruddin di Sleman  detikNews","Sat, 07 Jan 2023 08:00:00 GMT"
