keyword,url,title,content,author,publisher,description,publish_date
Prabowo Subianto,https://news.google.com/rss/articles/CBMid2h0dHBzOi8va2FiYXIyNC5iaXNuaXMuY29tL3JlYWQvMjAyMzAxMDcvMTUvMTYxNTkwMS9wcmFib3dvLXN1YmlhbnRvLXBlcnNpbGFrYW4ta2FkZXIteWFuZy10aWRhay1jb2Nvay1jYXJpLXBhcnRhaS1sYWlu0gF1aHR0cHM6Ly9tLmJpc25pcy5jb20vYW1wL3JlYWQvMjAyMzAxMDcvMTUvMTYxNTkwMS9wcmFib3dvLXN1YmlhbnRvLXBlcnNpbGFrYW4ta2FkZXIteWFuZy10aWRhay1jb2Nvay1jYXJpLXBhcnRhaS1sYWlu?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Prabowo Subianto Persilakan Kader yang Tidak Cocok Cari Partai Lain - Bisnis.com,,,Bisnis.com,Prabowo Subianto Persilakan Kader yang Tidak Cocok Cari Partai Lain  Bisnis.com,"Sat, 07 Jan 2023 08:00:00 GMT"
Prabowo Subianto,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vamF0aW0uYW50YXJhbmV3cy5jb20vYmVyaXRhLzY3MDQ0OS9wcmFib3dvLXN1YmlhbnRvLWthbGF1LW1hdS1waXNhaC1waXNhaC15YW5nLWJhaWvSAV9odHRwczovL2phdGltLmFudGFyYW5ld3MuY29tL2FtcC9iZXJpdGEvNjcwNDQ5L3ByYWJvd28tc3ViaWFudG8ta2FsYXUtbWF1LXBpc2FoLXBpc2FoLXlhbmctYmFpaw?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Prabowo Subianto: Kalau mau pisah, pisah yang baik - ANTARA Jawa Timur",,,ANTARA Jawa Timur,"Prabowo Subianto: Kalau mau pisah, pisah yang baik  ANTARA Jawa Timur","Sat, 07 Jan 2023 08:00:00 GMT"
Prabowo Subianto,https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vbmFzaW9uYWwua29tcGFzLmNvbS9yZWFkLzIwMjMvMDEvMDcvMTQ0NzI1NDEvcHJhYm93by1zZWJ1dC1kZWthdC1kZW5nYW4ta2lhaS1zZWphay1qYWRpLWxldG5hbtIBamh0dHBzOi8vYW1wLmtvbXBhcy5jb20vbmFzaW9uYWwvcmVhZC8yMDIzLzAxLzA3LzE0NDcyNTQxL3ByYWJvd28tc2VidXQtZGVrYXQtZGVuZ2FuLWtpYWktc2VqYWstamFkaS1sZXRuYW4?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Prabowo Sebut Dekat dengan Kiai sejak Jadi Letnan - Kompas.com - Nasional Kompas.com,,,Nasional Kompas.com,Prabowo Sebut Dekat dengan Kiai sejak Jadi Letnan - Kompas.com  Nasional Kompas.com,"Sat, 07 Jan 2023 08:00:00 GMT"
Prabowo Subianto,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LmFudGFyYW5ld3MuY29tL2Jlcml0YS8zMzM5ODI1L3ByYWJvd28tc2VidXQtcGVydGVtdWFuLXByZXNpZGVuLWRhbi1tZW50ZXJpbnlhLWFkYWxhaC1yYWhhc2lh0gFqaHR0cHM6Ly9tLmFudGFyYW5ld3MuY29tL2FtcC9iZXJpdGEvMzMzOTgyNS9wcmFib3dvLXNlYnV0LXBlcnRlbXVhbi1wcmVzaWRlbi1kYW4tbWVudGVyaW55YS1hZGFsYWgtcmFoYXNpYQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Prabowo sebut pertemuan Presiden dan menterinya adalah rahasia - ANTARA,,,ANTARA,Prabowo sebut pertemuan Presiden dan menterinya adalah rahasia  ANTARA,"Sat, 07 Jan 2023 08:00:00 GMT"
Prabowo Subianto,https://news.google.com/rss/articles/CBMigQFodHRwczovL3d3dy5jbm5pbmRvbmVzaWEuY29tL25hc2lvbmFsLzIwMjMwMTA3MTE0MzQzLTMyLTg5NzMxNC9wcmFib3dvLXNvYWwtaXNpLXBlcnRlbXVhbi1kZW5nYW4tam9rb3dpLW1hc2EtZGljZXJpdGFrYW4ta2Utc2VtdWHSAYUBaHR0cHM6Ly93d3cuY25uaW5kb25lc2lhLmNvbS9uYXNpb25hbC8yMDIzMDEwNzExNDM0My0zMi04OTczMTQvcHJhYm93by1zb2FsLWlzaS1wZXJ0ZW11YW4tZGVuZ2FuLWpva293aS1tYXNhLWRpY2VyaXRha2FuLWtlLXNlbXVhL2FtcA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Prabowo soal Isi Pertemuan dengan Jokowi: Masa Diceritakan ke Semua - CNN Indonesia,,,CNN Indonesia,Prabowo soal Isi Pertemuan dengan Jokowi: Masa Diceritakan ke Semua  CNN Indonesia,"Sat, 07 Jan 2023 08:00:00 GMT"
Prabowo Subianto,https://news.google.com/rss/articles/CBMie2h0dHBzOi8vbmFzaW9uYWwua29tcGFzLmNvbS9yZWFkLzIwMjMvMDEvMDcvMTUwNjM3ODEvZGl0YW55YS1zb2FsLXBlcnRlbXVhbi1kZW5nYW4tam9rb3dpLWRpLWlzdGFuYS1wcmFib3dvLW1hc2EtZGljZXJpdGFpbtIBf2h0dHBzOi8vYW1wLmtvbXBhcy5jb20vbmFzaW9uYWwvcmVhZC8yMDIzLzAxLzA3LzE1MDYzNzgxL2RpdGFueWEtc29hbC1wZXJ0ZW11YW4tZGVuZ2FuLWpva293aS1kaS1pc3RhbmEtcHJhYm93by1tYXNhLWRpY2VyaXRhaW4?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Ditanya Soal Pertemuan dengan Jokowi di Istana, Prabowo: Masa Diceritain - Kompas.com - Nasional Kompas.com",,,Nasional Kompas.com,"Ditanya Soal Pertemuan dengan Jokowi di Istana, Prabowo: Masa Diceritain - Kompas.com  Nasional Kompas.com","Sat, 07 Jan 2023 08:00:00 GMT"
Prabowo Subianto,https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtNjQ5OTMzNC9zYWF0LXByYWJvd28tamF3YWItY3VyaGF0LW5ldGl6ZW4teWFuZy1wdXNpbmctZ2VnYXJhLWxhdG8tbGF0b9IBamh0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtNjQ5OTMzNC9zYWF0LXByYWJvd28tamF3YWItY3VyaGF0LW5ldGl6ZW4teWFuZy1wdXNpbmctZ2VnYXJhLWxhdG8tbGF0by9hbXA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Saat Prabowo Jawab Curhat Netizen yang Pusing gegara Lato-lato - detikNews,,,detikNews,Saat Prabowo Jawab Curhat Netizen yang Pusing gegara Lato-lato  detikNews,"Thu, 05 Jan 2023 08:00:00 GMT"
Prabowo Subianto,https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vbmV3cy5kZXRpay5jb20vcGVtaWx1L2QtNjUwMTAxOS9nZXJpbmRyYS1iZXJzeXVrdXItZWxla3RhYmlsaXRhcy1wcmFib3dvLW1ha2luLW1vbmNlctIBYWh0dHBzOi8vbmV3cy5kZXRpay5jb20vcGVtaWx1L2QtNjUwMTAxOS9nZXJpbmRyYS1iZXJzeXVrdXItZWxla3RhYmlsaXRhcy1wcmFib3dvLW1ha2luLW1vbmNlci9hbXA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Gerindra Bersyukur Elektabilitas Prabowo Makin Moncer - detikNews,,,detikNews,Gerindra Bersyukur Elektabilitas Prabowo Makin Moncer  detikNews,"Fri, 06 Jan 2023 08:00:00 GMT"
Prabowo Subianto,https://news.google.com/rss/articles/CBMiamh0dHBzOi8va2FiYXIyNC5iaXNuaXMuY29tL3JlYWQvMjAyMzAxMDgvMTUvMTYxNjAwNy9wcmFib3dvLWluZ2luLXNhbmRpYWdhLXVuby1rZWx1YXItZGFyaS1wYXJ0YWktZ2VyaW5kcmHSAWhodHRwczovL20uYmlzbmlzLmNvbS9hbXAvcmVhZC8yMDIzMDEwOC8xNS8xNjE2MDA3L3ByYWJvd28taW5naW4tc2FuZGlhZ2EtdW5vLWtlbHVhci1kYXJpLXBhcnRhaS1nZXJpbmRyYQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Prabowo Ingin Sandiaga Uno Keluar dari Partai Gerindra? - Bisnis.com,,,Bisnis.com,Prabowo Ingin Sandiaga Uno Keluar dari Partai Gerindra?  Bisnis.com,"Sun, 08 Jan 2023 08:00:00 GMT"
Prabowo Subianto,https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vbmFzaW9uYWwudGVtcG8uY28vcmVhZC8xNjc1NzkwLzMtZmFrdGEtcHJhYm93by1zdWJpYW50by1jYXByZXMtdHVuZ2dhbC1nZXJpbmRyYdIBVmh0dHBzOi8vbmFzaW9uYWwudGVtcG8uY28vYW1wLzE2NzU3OTAvMy1mYWt0YS1wcmFib3dvLXN1YmlhbnRvLWNhcHJlcy10dW5nZ2FsLWdlcmluZHJh?oc=5&hl=en-ID&gl=ID&ceid=ID:en,3 Fakta Prabowo Subianto Capres Tunggal Gerindra - Nasional Tempo,,,Nasional Tempo,3 Fakta Prabowo Subianto Capres Tunggal Gerindra  Nasional Tempo,"Wed, 04 Jan 2023 08:00:00 GMT"
