name,text,rt,id,result extraction,token usage,entity,aspect,sentiment
prabowo,"Megawati Soekarnoputri, diyakini akan menjadikan Prabowo dan Puan Maharani, sebagai titik temu pasangan yang akan m… https://t.co/XI9E3ujgDn",0,1552261054964461568,"named_entity_recognition: [Megawati Soekarnoputri, Prabowo, Puan Maharani]

aspect_sentiment: [Megawati Soekarnoputri (positive), Prabowo (neutral), Puan Maharani (neutral)]",249,"Megawati Soekarnoputri,Prabowo,Puan Maharani","Megawati Soekarnoputri,Prabowo,Puan Maharani","positive,neutral,neutral"
prabowo,"Diremehkan, Citra Pak @prabowo menjadi tertinggi dibandingkan calon lain. 
@gerindra 
Kerja Prabowo Terbukti
Masyar… https://t.co/6o9iHjudkl",3,1551415694738313216,"named_entity_recognition: [""Prabowo"", ""gerindra""]
aspect_sentiment: [""Citra Pak Prabowo (positive)"", ""Kerja Prabowo (positive)""]",240,"Prabowo,gerindra","Citra Pak Prabowo,Kerja Prabowo","positive,positive"
prabowo,"Dulu Tuhan disuruh menangin Prabowo atau kagak disembah lagi, sekarang si Bongek diomelin. Nganggur kagak ada kerjaan apa ya??",0,1551415694738313216,"named_entity_recognition: [Prabowo, Bongek]
aspect_sentiment: [Tuhan (positive), menangin Prabowo (positive), disembah (negative), Bongek (negative), Nganggur (negative), kerjaan (negative)]",247,"Prabowo,Bongek","Tuhan,menangin Prabowo,disembah,Bongek,Nganggur,kerjaan","positive,positive,negative,negative,negative,negative"
prabowo,"@SantorinisSun Loh miss valak masih menyembah Allah kah, katanya kalau nggak memenangkan Prabowo gak ada lagi yang menyembah Allah",0,1551415694738313216,"named_entity_recognition: [""SantorinisSun"", ""Prabowo""]
aspect_sentiment: [""miss valak (neutral)"", ""memenangkan Prabowo (positive)"", ""menyembah Allah (neutral)""]",230,"SantorinisSun,Prabowo","miss valak,memenangkan Prabowo,menyembah Allah","neutral,positive,neutral"
prabowo,Yth bapak Presiden republik Indonesia Ir Haji JokowiDodo @jokowi dan Yth bapak kepala kepolisian negara republik In… https://t.co/kBh5ce6rYJ,39,1552234605419237376,"named_entity_recognition: [bapak Presiden republik Indonesia Ir Haji JokowiDodo, bapak kepala kepolisian negara republik In]
aspect_sentiment: [Yth (neutral), bapak Presiden republik Indonesia Ir Haji JokowiDodo (neutral), bapak kepala kepolisian negara republik In (neutral)]",287,"bapak Presiden republik Indonesia Ir Haji JokowiDodo,bapak kepala kepolisian negara republik In","Yth,bapak Presiden republik Indonesia Ir Haji JokowiDodo,bapak kepala kepolisian negara republik In","neutral,neutral,neutral"
prabowo,@Dahnilanzar @prabowo Selamat Bersilat.!😁,0,1552234605419237376,"named_entity_recognition: [""Dahnilanzar"", ""prabowo""]
aspect_sentiment: []",183,"Dahnilanzar,prabowo",,
prabowo,@Dahnilanzar @prabowo Salam buat bang @Dahnilanzar dan Bpk @prabowo juga pada seluruhnya.🙏😁,0,1552234605419237376,"named_entity_recognition: [""Dahnilanzar"", ""prabowo""]
aspect_sentiment: []",205,"Dahnilanzar,prabowo",,
prabowo,Deklarasi Prabowo Capres Digelar Saat Rapimnas 13 Agustus #PrabowoSubianto #DeklarasiCapres #RapimnasGerindra #PKB… https://t.co/ihBPLSFaIq,0,1552234605419237376,"named_entity_recognition: [Prabowo Subianto, Rapimnas Gerindra, PKB]
aspect_sentiment: [Deklarasi Prabowo Capres (positive), Rapimnas 13 Agustus (neutral)]",255,"Prabowo Subianto,Rapimnas Gerindra,PKB","Deklarasi Prabowo Capres,Rapimnas 13 Agustus","positive,neutral"
prabowo,Partai Gerindra memutuskan untuk memundurkan jadwal rapimnas yang akan mendengarkan pernyataan sikap politik Prabow… https://t.co/X0Xbxx0Wzy,0,1552234605419237376,"named_entity_recognition: [Partai Gerindra, rapimnas, Prabowo]
aspect_sentiment: [memundurkan jadwal rapimnas (negative), mendengarkan pernyataan sikap politik Prabowo (positive)]",248,"Partai Gerindra,rapimnas,Prabowo","memundurkan jadwal rapimnas,mendengarkan pernyataan sikap politik Prabowo","negative,positive"
prabowo,"Megawati Soekarnoputri, diyakini akan menjadikan Prabowo dan Puan Maharani, sebagai titik temu pasangan yang akan m… https://t.co/FngQcZSQyF",0,1552234605419237376,"named_entity_recognition: [Megawati Soekarnoputri, Prabowo, Puan Maharani]

aspect_sentiment: [Megawati Soekarnoputri (positive), Prabowo (neutral), Puan Maharani (neutral)]",248,"Megawati Soekarnoputri,Prabowo,Puan Maharani","Megawati Soekarnoputri,Prabowo,Puan Maharani","positive,neutral,neutral"
