created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,result extraction,token usage
Fri Nov 17 23:58:21 +0000 2023,1.72566470372328e+18,@gogo74070675957 @iina_surbakti @gibran_tweet Ya jangan dipilih Pilpres Pilcawapres nanti ...gitu aja kok repot !!,0.0,0.0,0.0,1.0,in,1.21386692606302e+18,1.72549936636926e+18,ArjunaOnthesky,https://twitter.com/ArjunaOnthesky/status/1725664703723282666,"named_entity_recognition: [@gogo74070675957, @iina_surbakti, @gibran_tweet]
aspect_sentiment: [dipilih (negative), Pilpres (neutral), Pilcawapres (neutral), repot (negative)]",241
Fri Nov 17 23:58:19 +0000 2023,1.72566469722211e+18,@vendie7 Btw sy msh ingat omelanmu ttg prof MD saat hiruk pikuk di dirjen pajak dan kemenkeu,,,,,,,,,,"named_entity_recognition: [PERSON, PERSON, ORGANIZATION, ORGANIZATION]

aspect_sentiment: [omelanmu (negative), prof MD (neutral), hiruk pikuk (negative), dirjen pajak (neutral), kemenkeu (neutral)]",234
Fri Nov 17 23:57:49 +0000 2023,1.72566456885964e+18,ðŸ”´âšªï¸ PEMILU terutama PILPRES adalah SATU-SATUNYA CARA untuk MENCEGAH INDONESIA dipimpin oleh ORANG JAHAT https://t.co/ctmu0jVY9f,1.0,7.0,12.0,29.0,in,1.37830327316623e+18,1.72566456885964e+18,_BungHerwin,https://twitter.com/_BungHerwin/status/1725664568859648206,"named_entity_recognition: []

aspect_sentiment: [PILPRES (positive), INDONESIA (negative)]",229
Fri Nov 17 23:57:34 +0000 2023,1.72566450904463e+18,@ekagumilars Indonesia aman &amp  damai tanpa pilpres  #Golput,0.0,0.0,0.0,0.0,in,2537213372.0,1.72538364635241e+18,irfandjay,https://twitter.com/irfandjay/status/1725664509044633878,"named_entity_recognition: []

aspect_sentiment: []",177
Fri Nov 17 23:57:31 +0000 2023,1.72566449613038e+18,Pilpres kali ini,,,,,,,,,,"named_entity_recognition: []

aspect_sentiment: []",160
Fri Nov 17 23:56:33 +0000 2023,1.72566425234061e+18,Ini Daftar Nama dan Struktur Lengkap TKN Prabowo-Gibran di Pilpres 2024 - detikBali https://t.co/c11OuYxgN5 #Prabowo #PrabowoUnggul,0.0,0.0,0.0,0.0,in,1.11093269342695e+18,1.72566425234061e+18,fathw25,https://twitter.com/fathw25/status/1725664252340617381,"named_entity_recognition: [""TKN Prabowo-Gibran"", ""detikBali"", ""Prabowo""]

aspect_sentiment: [""Daftar Nama dan Struktur Lengkap TKN Prabowo-Gibran di Pilpres 2024"" (positive), ""detikBali"" (neutral), ""Prabowo"" (positive)]",273
Fri Nov 17 23:55:49 +0000 2023,1.72566406492239e+18,@DokterTifa Antek penjajah dengan ijazah palsu gak bakalan menang pilpres,0.0,0.0,0.0,0.0,in,1.71711219042639e+18,1.72530068559885e+18,windaokto1,https://twitter.com/windaokto1/status/1725664064922399068,"named_entity_recognition: [""DokterTifa""]
aspect_sentiment: []",186
Fri Nov 17 23:53:56 +0000 2023,1.72566359225373e+18,@ekokuntadhi1 Kekacawan akan terjadi klo sudah mendekati pilpres,0.0,0.0,0.0,0.0,in,1.71388720490341e+18,1.72535751879129e+18,les47796,https://twitter.com/les47796/status/1725663592253739456,"named_entity_recognition: [ekokuntadhi1 (PERSON)]

aspect_sentiment: [Kekacawan (negative)]",192
Fri Nov 17 23:53:50 +0000 2023,1.72566356767921e+18,Kecuali Jokowi jadi ketum Golkar dan Gibran jadi ketum Gerindra sebelum pilpres dilakukan.,0.0,0.0,0.0,0.0,in,84867302.0,1.72566356767921e+18,tualang,https://twitter.com/tualang/status/1725663567679213855,"named_entity_recognition: [Jokowi, Golkar, Gibran, Gerindra, pilpres]

aspect_sentiment: [Jokowi (positive), ketum Golkar (neutral), Gibran (neutral), ketum Gerindra (neutral), pilpres (neutral)]",234
Fri Nov 17 23:51:33 +0000 2023,1.72566299481283e+18,BANYAK OKNUM PEJABAT NEGARA,,,,,,,,,,"named_entity_recognition: [OKNUM PEJABAT NEGARA]

aspect_sentiment: [BANYAK (negative)]",181
Fri Nov 17 23:51:32 +0000 2023,1.72566298712044e+18,Media Asing Sorot Survei Capres Pilpres RI,,,,,,,,,,"named_entity_recognition: [Media Asing, Survei Capres, Pilpres RI]
aspect_sentiment: [Sorot (positif)]",189
